     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
         0: 2022-10-17  0: 1: 0.0130000              6      969180.7746     5628260.6137     2830346.9315      969178.0395     5628268.9010     2830350.0929       6.85165053      16.69027657       7.49943597 
         1: 2022-10-17  0: 1:30.0130000              6      969180.7746     5628260.6137     2830346.9315      969175.4415     5628269.3609     2830355.5255       3.16427044       3.80134186       1.86220997 
         2: 2022-10-17  0: 2: 0.0130000              7      969180.7746     5628260.6137     2830346.9315      969177.8833     5628269.0098     2830353.0158       2.34218687       1.92099830       0.99518144 
         3: 2022-10-17  0: 2:30.0130000              7      969180.7746     5628260.6137     2830346.9315      969181.3863     5628267.9124     2830352.2353       1.74760790       1.09439863       0.66012968 
         4: 2022-10-17  0: 3: 0.0130000              7      969180.7746     5628260.6137     2830346.9315      969180.3629     5628266.9567     2830350.9609       1.33990078       0.72020800       0.49147516 
         5: 2022-10-17  0: 3:30.0130000              7      969180.7746     5628260.6137     2830346.9315      969180.4828     5628264.8367     2830349.7396       1.06305368       0.52289992       0.38809002 
         6: 2022-10-17  0: 4: 0.0130000              7      969180.7746     5628260.6137     2830346.9315      969181.3125     5628263.7023     2830349.2110       0.86903171       0.40440274       0.31799508 
         7: 2022-10-17  0: 4:30.0130000              7      969180.7746     5628260.6137     2830346.9315      969181.1153     5628263.2920     2830348.8578       0.72801333       0.32633545       0.26754918 
         8: 2022-10-17  0: 5: 0.0130000              7      969180.7746     5628260.6137     2830346.9315      969180.5474     5628263.1949     2830348.6000       0.62210049       0.27141985       0.22971129 
         9: 2022-10-17  0: 5:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969180.5644     5628263.0828     2830348.5008       0.54028617       0.23089514       0.20042535 
        10: 2022-10-17  0: 6: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969180.8844     5628262.8925     2830348.4606       0.47556467       0.19988593       0.17718362 
        11: 2022-10-17  0: 6:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.0687     5628262.8146     2830348.4338       0.42331738       0.17547405       0.15835371 
        12: 2022-10-17  0: 7: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.1508     5628262.8175     2830348.4489       0.38040123       0.15581096       0.14283033 
        13: 2022-10-17  0: 7:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.2155     5628262.9088     2830348.4766       0.34461575       0.13967120       0.12984062 
        14: 2022-10-17  0: 8: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.2567     5628262.8934     2830348.4554       0.31438164       0.12621164       0.11882931 
        15: 2022-10-17  0: 8:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.2544     5628262.7583     2830348.3951       0.28854039       0.11483403       0.10938820 
        16: 2022-10-17  0: 9: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.4389     5628262.7123     2830348.3887       0.26622537       0.10510270       0.10121109 
        17: 2022-10-17  0: 9:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.4494     5628262.6906     2830348.3607       0.24677681       0.09669335       0.09406431 
        18: 2022-10-17  0:10: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.5009     5628262.6197     2830348.3318       0.22968485       0.08935988       0.08776674 
        19: 2022-10-17  0:10:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.4899     5628262.5897     2830348.3188       0.21454996       0.08291239       0.08217608 
        20: 2022-10-17  0:11: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.5369     5628262.6165     2830348.3530       0.20105528       0.07720223       0.07717913 
        21: 2022-10-17  0:11:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.5390     5628262.6095     2830348.3560       0.18894671       0.07211148       0.07268490 
        22: 2022-10-17  0:12: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.4379     5628262.5947     2830348.3349       0.17801846       0.06754556       0.06861949 
        23: 2022-10-17  0:12:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.3075     5628262.5818     2830348.3137       0.16810235       0.06342778       0.06492239 
        24: 2022-10-17  0:13: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.2078     5628262.6069     2830348.3035       0.15905987       0.05969542       0.06154364 
        25: 2022-10-17  0:13:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.1759     5628262.6001     2830348.3018       0.15077611       0.05629674       0.05844171 
        26: 2022-10-17  0:14: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.0512     5628262.5867     2830348.2781       0.14315508       0.05318874       0.05558184 
        27: 2022-10-17  0:14:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969180.9686     5628262.5873     2830348.2740       0.13611615       0.05033544       0.05293481 
        28: 2022-10-17  0:15: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969180.9546     5628262.5743     2830348.2770       0.12959122       0.04770657       0.05047589 
        29: 2022-10-17  0:15:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969180.9850     5628262.5936     2830348.2921       0.12352251       0.04527646       0.04818407 
        30: 2022-10-17  0:16: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.0155     5628262.6082     2830348.3088       0.11786076       0.04302330       0.04604144 
        31: 2022-10-17  0:16:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969180.9810     5628262.6085     2830348.3025       0.11256379       0.04092841       0.04403263 
        32: 2022-10-17  0:17: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969180.9779     5628262.6057     2830348.3023       0.10759539       0.03897576       0.04214446 
        33: 2022-10-17  0:17:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.0377     5628262.5977     2830348.3092       0.10292431       0.03715151       0.04036555 
        34: 2022-10-17  0:18: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.0711     5628262.6037     2830348.3161       0.09852351       0.03544365       0.03868605 
        35: 2022-10-17  0:18:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.0990     5628262.6123     2830348.3276       0.09436951       0.03384174       0.03709741 
        36: 2022-10-17  0:19: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.1158     5628262.6392     2830348.3433       0.09044183       0.03233666       0.03559218 
        37: 2022-10-17  0:19:30.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.0963     5628262.6374     2830348.3390       0.08672258       0.03092040       0.03416385 
        38: 2022-10-17  0:20: 0.0140000              8      969180.7746     5628260.6137     2830346.9315      969181.1116     5628262.6466     2830348.3495       0.08319544       0.02958578       0.03280652 
        39: 2022-10-17  0:20:30.0140000              8      969180.7746     5628260.6137     2830346.9315      969181.0866     5628262.6333     2830348.3335       0.07983135       0.02831607       0.03150400 
        40: 2022-10-17  0:21: 0.0140000              8      969180.7746     5628260.6137     2830346.9315      969181.0417     5628262.6121     2830348.3058       0.07661187       0.02710100       0.03024683 
        41: 2022-10-17  0:21:30.0140000              8      969180.7746     5628260.6137     2830346.9315      969181.0384     5628262.6127     2830348.3020       0.07352616       0.02593479       0.02903025 
        42: 2022-10-17  0:22: 0.0140000              7      969180.7746     5628260.6137     2830346.9315      969181.0563     5628262.6214     2830348.3078       0.07065993       0.02488005       0.02792214 
        43: 2022-10-17  0:22:30.0140000              8      969180.7746     5628260.6137     2830346.9315      969181.0225     5628262.6224     2830348.3031       0.06792873       0.02388074       0.02686388 
        44: 2022-10-17  0:23: 0.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.9796     5628262.6267     2830348.2977       0.06531962       0.02292900       0.02584827 
        45: 2022-10-17  0:23:30.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.9436     5628262.6192     2830348.2863       0.06282343       0.02201955       0.02487070 
        46: 2022-10-17  0:24: 0.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.9136     5628262.6243     2830348.2816       0.06043381       0.02114894       0.02392843 
        47: 2022-10-17  0:24:30.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.8696     5628262.6074     2830348.2643       0.05814622       0.02031493       0.02301994 
        48: 2022-10-17  0:25: 0.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.8546     5628262.5986     2830348.2574       0.05595718       0.01951605       0.02214447 
        49: 2022-10-17  0:25:30.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.8440     5628262.5903     2830348.2501       0.05386379       0.01875131       0.02130166 
        50: 2022-10-17  0:26: 0.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.8582     5628262.5899     2830348.2524       0.05186334       0.01801994       0.02049135 
        51: 2022-10-17  0:26:30.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.8506     5628262.5809     2830348.2460       0.04995313       0.01732126       0.01971336 
        52: 2022-10-17  0:27: 0.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.8682     5628262.5754     2830348.2448       0.04813036       0.01665458       0.01896745 
        53: 2022-10-17  0:27:30.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.8635     5628262.5732     2830348.2400       0.04639204       0.01601915       0.01825326 
        54: 2022-10-17  0:28: 0.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.8718     5628262.5703     2830348.2422       0.04473502       0.01541413       0.01757026 
        55: 2022-10-17  0:28:30.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.8690     5628262.5675     2830348.2403       0.04315603       0.01483860       0.01691777 
        56: 2022-10-17  0:29: 0.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.8765     5628262.5655     2830348.2412       0.04165165       0.01429153       0.01629496 
        57: 2022-10-17  0:29:30.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.8848     5628262.5667     2830348.2405       0.04021843       0.01377184       0.01570091 
        58: 2022-10-17  0:30: 0.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.9046     5628262.5708     2830348.2467       0.03885292       0.01327839       0.01513460 
        59: 2022-10-17  0:30:30.0140000              8      969180.7746     5628260.6137     2830346.9315      969180.9414     5628262.5788     2830348.2607       0.03755167       0.01281003       0.01459492 
