     epoch         Observation time         ZTD(m)    clk_G(m)    clk_C(m)    clk_R(m)    clk_E(m)
         0: 2022-10-17  0: 1: 0.0130000   -0.2178  4017257.2539      0.0000      0.0000      0.0000   
         1: 2022-10-17  0: 1:30.0130000   -0.4311  4020990.2597      0.0000      0.0000      0.0000   
         2: 2022-10-17  0: 2: 0.0130000    0.6626  4024720.7137      0.0000      0.0000      0.0000   
         3: 2022-10-17  0: 2:30.0130000    0.9422  4028458.0904      0.0000      0.0000      0.0000   
         4: 2022-10-17  0: 3: 0.0130000    1.2719  4032197.4557      0.0000      0.0000      0.0000   
         5: 2022-10-17  0: 3:30.0130000    1.7496  4035924.1561      0.0000      0.0000      0.0000   
         6: 2022-10-17  0: 4: 0.0130000    1.9819  4039650.3433      0.0000      0.0000      0.0000   
         7: 2022-10-17  0: 4:30.0130000    2.0787  4043379.9157      0.0000      0.0000      0.0000   
         8: 2022-10-17  0: 5: 0.0130000    2.1564  4047110.2073      0.0000      0.0000      0.0000   
         9: 2022-10-17  0: 5:30.0140000    2.2080  4050842.3495      0.0000      0.0000      0.0000   
        10: 2022-10-17  0: 6: 0.0140000    2.2365  4054578.8922      0.0000      0.0000      0.0000   
        11: 2022-10-17  0: 6:30.0140000    2.2642  4058312.0104      0.0000      0.0000      0.0000   
        12: 2022-10-17  0: 7: 0.0140000    2.2674  4062053.1589      0.0000      0.0000      0.0000   
        13: 2022-10-17  0: 7:30.0140000    2.2651  4065803.5198      0.0000      0.0000      0.0000   
        14: 2022-10-17  0: 8: 0.0140000    2.2854  4069550.1096      0.0000      0.0000      0.0000   
        15: 2022-10-17  0: 8:30.0140000    2.3073  4073299.5586      0.0000      0.0000      0.0000   
        16: 2022-10-17  0: 9: 0.0140000    2.3063  4077051.5219      0.0000      0.0000      0.0000   
        17: 2022-10-17  0: 9:30.0140000    2.3166  4080795.1163      0.0000      0.0000      0.0000   
        18: 2022-10-17  0:10: 0.0140000    2.3327  4084535.7719      0.0000      0.0000      0.0000   
        19: 2022-10-17  0:10:30.0140000    2.3449  4088286.5469      0.0000      0.0000      0.0000   
        20: 2022-10-17  0:11: 0.0140000    2.3358  4092041.8357      0.0000      0.0000      0.0000   
        21: 2022-10-17  0:11:30.0140000    2.3384  4095793.3866      0.0000      0.0000      0.0000   
        22: 2022-10-17  0:12: 0.0140000    2.3456  4099547.8323      0.0000      0.0000      0.0000   
        23: 2022-10-17  0:12:30.0140000    2.3563  4103294.8534      0.0000      0.0000      0.0000   
        24: 2022-10-17  0:13: 0.0140000    2.3599  4107045.9661      0.0000      0.0000      0.0000   
        25: 2022-10-17  0:13:30.0140000    2.3626  4110794.9303      0.0000      0.0000      0.0000   
        26: 2022-10-17  0:14: 0.0140000    2.3729  4114539.6817      0.0000      0.0000      0.0000   
        27: 2022-10-17  0:14:30.0140000    2.3752  4118273.3016      0.0000      0.0000      0.0000   
        28: 2022-10-17  0:15: 0.0140000    2.3777  4122010.8076      0.0000      0.0000      0.0000   
        29: 2022-10-17  0:15:30.0140000    2.3718  4125747.2308      0.0000      0.0000      0.0000   
        30: 2022-10-17  0:16: 0.0140000    2.3673  4129492.6539      0.0000      0.0000      0.0000   
        31: 2022-10-17  0:16:30.0140000    2.3723  4133236.4733      0.0000      0.0000      0.0000   
        32: 2022-10-17  0:17: 0.0140000    2.3755  4136983.6521      0.0000      0.0000      0.0000   
        33: 2022-10-17  0:17:30.0140000    2.3736  4140733.2943      0.0000      0.0000      0.0000   
        34: 2022-10-17  0:18: 0.0140000    2.3712  4144484.7454      0.0000      0.0000      0.0000   
        35: 2022-10-17  0:18:30.0140000    2.3677  4148227.3523      0.0000      0.0000      0.0000   
        36: 2022-10-17  0:19: 0.0140000    2.3623  4151965.1960      0.0000      0.0000      0.0000   
        37: 2022-10-17  0:19:30.0140000    2.3656  4155720.7502      0.0000      0.0000      0.0000   
        38: 2022-10-17  0:20: 0.0140000    2.3635  4159485.9993      0.0000      0.0000      0.0000   
        39: 2022-10-17  0:20:30.0140000    2.3720  4163240.0989      0.0000      0.0000      0.0000   
        40: 2022-10-17  0:21: 0.0140000    2.3842  4166991.1986      0.0000      0.0000      0.0000   
        41: 2022-10-17  0:21:30.0140000    2.3860  4170746.5433      0.0000      0.0000      0.0000   
        42: 2022-10-17  0:22: 0.0140000    2.3831  4174501.3648      0.0000      0.0000      0.0000   
        43: 2022-10-17  0:22:30.0140000    2.3856  4178252.6584      0.0000      0.0000      0.0000   
        44: 2022-10-17  0:23: 0.0140000    2.3878  4182002.7219      0.0000      0.0000      0.0000   
        45: 2022-10-17  0:23:30.0140000    2.3944  4185762.0071      0.0000      0.0000      0.0000   
        46: 2022-10-17  0:24: 0.0140000    2.3956  4189528.9010      0.0000      0.0000      0.0000   
        47: 2022-10-17  0:24:30.0140000    2.4032  4193292.5908      0.0000      0.0000      0.0000   
        48: 2022-10-17  0:25: 0.0140000    2.4070  4197053.9795      0.0000      0.0000      0.0000   
        49: 2022-10-17  0:25:30.0140000    2.4098  4200812.0877      0.0000      0.0000      0.0000   
        50: 2022-10-17  0:26: 0.0140000    2.4092  4204575.0379      0.0000      0.0000      0.0000   
        51: 2022-10-17  0:26:30.0140000    2.4119  4208332.7910      0.0000      0.0000      0.0000   
        52: 2022-10-17  0:27: 0.0140000    2.4124  4212081.0744      0.0000      0.0000      0.0000   
        53: 2022-10-17  0:27:30.0140000    2.4141  4215825.1813      0.0000      0.0000      0.0000   
        54: 2022-10-17  0:28: 0.0140000    2.4154  4219569.4738      0.0000      0.0000      0.0000   
        55: 2022-10-17  0:28:30.0140000    2.4172  4223318.7786      0.0000      0.0000      0.0000   
        56: 2022-10-17  0:29: 0.0140000    2.4173  4227071.7076      0.0000      0.0000      0.0000   
        57: 2022-10-17  0:29:30.0140000    2.4173  4230825.0317      0.0000      0.0000      0.0000   
        58: 2022-10-17  0:30: 0.0140000    2.4142  4234575.9080      0.0000      0.0000      0.0000   
        59: 2022-10-17  0:30:30.0140000    2.4086  4238323.8704      0.0000      0.0000      0.0000   
        60: 2022-10-17  0:31: 0.0140000    2.4071  4242064.5870      0.0000      0.0000      0.0000   
        61: 2022-10-17  0:31:30.0140000    2.4094  4245807.8450      0.0000      0.0000      0.0000   
        62: 2022-10-17  0:32: 0.0140000    2.4108  4249548.0252      0.0000      0.0000      0.0000   
        63: 2022-10-17  0:32:30.0140000    2.4143  4253284.9266      0.0000      0.0000      0.0000   
        64: 2022-10-17  0:33: 0.0140000    2.4153  4257023.8264      0.0000      0.0000      0.0000   
        65: 2022-10-17  0:33:30.0140000    2.4161  4260769.2303      0.0000      0.0000      0.0000   
        66: 2022-10-17  0:34: 0.0140000    2.4166  4264516.7391      0.0000      0.0000      0.0000   
        67: 2022-10-17  0:34:30.0140000    2.4174  4268262.9403      0.0000      0.0000      0.0000   
        68: 2022-10-17  0:35: 0.0140000    2.4168  4272006.9468      0.0000      0.0000      0.0000   
        69: 2022-10-17  0:35:30.0140000    2.4169  4275755.3720      0.0000      0.0000      0.0000   
        70: 2022-10-17  0:36: 0.0140000    2.4172  4279507.6012      0.0000      0.0000      0.0000   
        71: 2022-10-17  0:36:30.0140000    2.4180  4283249.5537      0.0000      0.0000      0.0000   
        72: 2022-10-17  0:36:59.9930000    2.4187  -2008657.2993      0.0000      0.0000      0.0000   
        73: 2022-10-17  0:37:29.9930000    2.4189  -2004925.0374      0.0000      0.0000      0.0000   
        74: 2022-10-17  0:37:59.9930000    2.4197  -2001191.0462      0.0000      0.0000      0.0000   
        75: 2022-10-17  0:38:29.9930000    2.4201  -1997453.8116      0.0000      0.0000      0.0000   
        76: 2022-10-17  0:38:59.9930000    2.4224  -1993719.1250      0.0000      0.0000      0.0000   
        77: 2022-10-17  0:39:29.9930000    2.4255  -1989980.2857      0.0000      0.0000      0.0000   
        78: 2022-10-17  0:39:59.9930000    2.4270  -1986232.8213      0.0000      0.0000      0.0000   
        79: 2022-10-17  0:40:29.9930000    2.4272  -1982484.2612      0.0000      0.0000      0.0000   
        80: 2022-10-17  0:40:59.9930000    2.4288  -1978733.4961      0.0000      0.0000      0.0000   
        81: 2022-10-17  0:41:29.9930000    2.4280  -1974984.4764      0.0000      0.0000      0.0000   
        82: 2022-10-17  0:41:59.9930000    2.4282  -1971229.0181      0.0000      0.0000      0.0000   
        83: 2022-10-17  0:42:29.9930000    2.4286  -1967476.9878      0.0000      0.0000      0.0000   
        84: 2022-10-17  0:42:59.9930000    2.4287  -1963732.2832      0.0000      0.0000      0.0000   
        85: 2022-10-17  0:43:29.9930000    2.4273  -1959986.2812      0.0000      0.0000      0.0000   
        86: 2022-10-17  0:43:59.9930000    2.4273  -1956238.7461      0.0000      0.0000      0.0000   
        87: 2022-10-17  0:44:29.9930000    2.4278  -1952497.5602      0.0000      0.0000      0.0000   
        88: 2022-10-17  0:44:59.9930000    2.4285  -1948758.2118      0.0000      0.0000      0.0000   
        89: 2022-10-17  0:45:29.9940000    2.4294  -1945016.0781      0.0000      0.0000      0.0000   
        90: 2022-10-17  0:45:59.9940000    2.4299  -1941271.2497      0.0000      0.0000      0.0000   
        91: 2022-10-17  0:46:29.9940000    2.4299  -1937533.7783      0.0000      0.0000      0.0000   
        92: 2022-10-17  0:46:59.9940000    2.4298  -1933799.6215      0.0000      0.0000      0.0000   
        93: 2022-10-17  0:47:29.9940000    2.4301  -1930063.1726      0.0000      0.0000      0.0000   
        94: 2022-10-17  0:47:59.9940000    2.4298  -1926329.5849      0.0000      0.0000      0.0000   
        95: 2022-10-17  0:48:29.9940000    2.4296  -1922597.1753      0.0000      0.0000      0.0000   
        96: 2022-10-17  0:48:59.9940000    2.4293  -1918868.0371      0.0000      0.0000      0.0000   
        97: 2022-10-17  0:49:29.9940000    2.4292  -1915140.5753      0.0000      0.0000      0.0000   
        98: 2022-10-17  0:49:59.9940000    2.4286  -1911412.5331      0.0000      0.0000      0.0000   
        99: 2022-10-17  0:50:29.9940000    2.4279  -1907672.5799      0.0000      0.0000      0.0000   
       100: 2022-10-17  0:50:59.9940000    2.4279  -1903927.0549      0.0000      0.0000      0.0000   
       101: 2022-10-17  0:51:29.9940000    2.4281  -1900189.1187      0.0000      0.0000      0.0000   
       102: 2022-10-17  0:51:59.9940000    2.4282  -1896453.5423      0.0000      0.0000      0.0000   
       103: 2022-10-17  0:52:29.9940000    2.4277  -1892709.6726      0.0000      0.0000      0.0000   
       104: 2022-10-17  0:52:59.9940000    2.4281  -1888965.9742      0.0000      0.0000      0.0000   
       105: 2022-10-17  0:53:29.9940000    2.4282  -1885212.3626      0.0000      0.0000      0.0000   
       106: 2022-10-17  0:53:59.9940000    2.4286  -1881458.7385      0.0000      0.0000      0.0000   
       107: 2022-10-17  0:54:29.9940000    2.4288  -1877708.7947      0.0000      0.0000      0.0000   
       108: 2022-10-17  0:54:59.9940000    2.4291  -1873949.4350      0.0000      0.0000      0.0000   
       109: 2022-10-17  0:55:29.9940000    2.4304  -1870184.1641      0.0000      0.0000      0.0000   
       110: 2022-10-17  0:55:59.9940000    2.4309  -1866415.3644      0.0000      0.0000      0.0000   
       111: 2022-10-17  0:56:29.9940000    2.4313  -1862650.1297      0.0000      0.0000      0.0000   
       112: 2022-10-17  0:56:59.9940000    2.4318  -1858875.0696      0.0000      0.0000      0.0000   
       113: 2022-10-17  0:57:29.9940000    2.4319  -1855094.6870      0.0000      0.0000      0.0000   
       114: 2022-10-17  0:57:59.9940000    2.4317  -1851311.2588      0.0000      0.0000      0.0000   
       115: 2022-10-17  0:58:29.9940000    2.4318  -1847523.3092      0.0000      0.0000      0.0000   
