     epoch         Observation time         ZTD(m)    clk_G(m)    clk_C(m)    clk_R(m)    clk_E(m)
        62: 2022-10-18  0:31:59.9900000    2.4159  -2915527.4349      0.0000      0.0000      0.0000   
        63: 2022-10-18  0:32:29.9900000    2.4148  -2911803.3627      0.0000      0.0000      0.0000   
        64: 2022-10-18  0:32:59.9900000    2.4137  -2908078.7911      0.0000      0.0000      0.0000   
        65: 2022-10-18  0:33:29.9900000    2.4144  -2904343.4245      0.0000      0.0000      0.0000   
        66: 2022-10-18  0:33:59.9900000    2.4139  -2900608.8908      0.0000      0.0000      0.0000   
        67: 2022-10-18  0:34:29.9900000    2.4135  -2896874.7870      0.0000      0.0000      0.0000   
        68: 2022-10-18  0:34:59.9900000    2.4154  -2893140.6007      0.0000      0.0000      0.0000   
        69: 2022-10-18  0:35:29.9900000    2.4175  -2889401.9918      0.0000      0.0000      0.0000   
        70: 2022-10-18  0:35:59.9900000    2.4167  -2885664.3590      0.0000      0.0000      0.0000   
        71: 2022-10-18  0:36:29.9900000    2.4160  -2881928.7696      0.0000      0.0000      0.0000   
        72: 2022-10-18  0:36:59.9900000    2.4161  -2878193.5532      0.0000      0.0000      0.0000   
        73: 2022-10-18  0:37:29.9900000    2.4159  -2874469.5048      0.0000      0.0000      0.0000   
        74: 2022-10-18  0:37:59.9900000    2.4156  -2870742.3346      0.0000      0.0000      0.0000   
        75: 2022-10-18  0:38:29.9900000    2.4167  -2867009.6511      0.0000      0.0000      0.0000   
        76: 2022-10-18  0:38:59.9900000    2.4157  -2863280.0093      0.0000      0.0000      0.0000   
        77: 2022-10-18  0:39:29.9900000    2.4156  -2859545.8957      0.0000      0.0000      0.0000   
        78: 2022-10-18  0:39:59.9900000    2.4159  -2855822.6252      0.0000      0.0000      0.0000   
        79: 2022-10-18  0:40:29.9900000    2.4159  -2852105.2873      0.0000      0.0000      0.0000   
        80: 2022-10-18  0:40:59.9900000    2.4162  -2848385.4782      0.0000      0.0000      0.0000   
        81: 2022-10-18  0:41:29.9910000    2.4169  -2844670.3289      0.0000      0.0000      0.0000   
        82: 2022-10-18  0:41:59.9910000    2.4176  -2840957.1224      0.0000      0.0000      0.0000   
        83: 2022-10-18  0:42:29.9910000    2.4178  -2837234.0207      0.0000      0.0000      0.0000   
        84: 2022-10-18  0:42:59.9910000    2.4175  -2833513.5787      0.0000      0.0000      0.0000   
        85: 2022-10-18  0:43:29.9910000    2.4182  -2829792.5829      0.0000      0.0000      0.0000   
        86: 2022-10-18  0:43:59.9910000    2.4180  -2826053.9805      0.0000      0.0000      0.0000   
        87: 2022-10-18  0:44:29.9910000    2.4175  -2822307.2477      0.0000      0.0000      0.0000   
        88: 2022-10-18  0:44:59.9910000    2.4178  -2818560.6287      0.0000      0.0000      0.0000   
        89: 2022-10-18  0:45:29.9910000    2.4174  -2814808.3078      0.0000      0.0000      0.0000   
        90: 2022-10-18  0:45:59.9910000    2.4169  -2811054.2500      0.0000      0.0000      0.0000   
        91: 2022-10-18  0:46:29.9910000    2.4170  -2807293.1039      0.0000      0.0000      0.0000   
        92: 2022-10-18  0:46:59.9910000    2.4170  -2803530.9814      0.0000      0.0000      0.0000   
        93: 2022-10-18  0:47:29.9910000    2.4177  -2799776.1525      0.0000      0.0000      0.0000   
        94: 2022-10-18  0:47:59.9910000    2.4184  -2796015.6636      0.0000      0.0000      0.0000   
        95: 2022-10-18  0:48:29.9910000    2.4181  -2792254.4485      0.0000      0.0000      0.0000   
        96: 2022-10-18  0:48:59.9910000    2.4187  -2788486.4306      0.0000      0.0000      0.0000   
        97: 2022-10-18  0:49:29.9910000    2.4191  -2784715.0240      0.0000      0.0000      0.0000   
        98: 2022-10-18  0:49:59.9910000    2.4195  -2780940.6990      0.0000      0.0000      0.0000   
        99: 2022-10-18  0:50:29.9910000    2.4194  -2777159.5993      0.0000      0.0000      0.0000   
       100: 2022-10-18  0:50:59.9910000    2.4195  -2773371.4323      0.0000      0.0000      0.0000   
       101: 2022-10-18  0:51:29.9910000    2.4203  -2769580.8688      0.0000      0.0000      0.0000   
       102: 2022-10-18  0:51:59.9910000    2.4209  -2765786.1341      0.0000      0.0000      0.0000   
       103: 2022-10-18  0:52:29.9910000    2.4209  -2761987.0535      0.0000      0.0000      0.0000   
       104: 2022-10-18  0:52:59.9910000    2.4211  -2758178.6479      0.0000      0.0000      0.0000   
       105: 2022-10-18  0:53:29.9910000    2.4206  -2754370.3220      0.0000      0.0000      0.0000   
       106: 2022-10-18  0:53:59.9910000    2.4205  -2750566.4527      0.0000      0.0000      0.0000   
       107: 2022-10-18  0:54:29.9910000    2.4203  -2746765.3364      0.0000      0.0000      0.0000   
       108: 2022-10-18  0:54:59.9910000    2.4201  -2742955.5514      0.0000      0.0000      0.0000   
       109: 2022-10-18  0:55:29.9910000    2.4202  -2739141.9506      0.0000      0.0000      0.0000   
       110: 2022-10-18  0:55:59.9910000    2.4202  -2735330.2614      0.0000      0.0000      0.0000   
       111: 2022-10-18  0:56:29.9910000    2.4200  -2731516.9582      0.0000      0.0000      0.0000   
