     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
         0: 2022-10-18  0: 0:59.9890000              6      969181.2025     5628261.4123     2830347.6500      969179.8743     5628269.6661     2830353.9057       6.92110124      18.04540835       7.90763869 
         1: 2022-10-18  0: 1:29.9900000              7      969181.2025     5628261.4123     2830347.6500      969180.5789     5628256.5825     2830342.2575       3.09184539       2.18368429       1.63012492 
         2: 2022-10-18  0: 1:59.9900000              7      969181.2025     5628261.4123     2830347.6500      969181.0139     5628258.9766     2830344.3405       2.24632200       1.14064746       0.98378245 
         3: 2022-10-18  0: 2:29.9900000              7      969181.2025     5628261.4123     2830347.6500      969182.5950     5628260.3574     2830345.9115       1.70598950       0.75795505       0.70337185 
         4: 2022-10-18  0: 2:59.9900000              7      969181.2025     5628261.4123     2830347.6500      969182.7605     5628260.9666     2830346.7908       1.34178143       0.55831808       0.53980839 
         5: 2022-10-18  0: 3:29.9900000              7      969181.2025     5628261.4123     2830347.6500      969183.0114     5628261.6383     2830347.5565       1.08660825       0.43578564       0.43229940 
         6: 2022-10-18  0: 3:59.9900000              7      969181.2025     5628261.4123     2830347.6500      969182.7647     5628261.8204     2830347.7290       0.90138665       0.35327596       0.35672810 
         7: 2022-10-18  0: 4:29.9900000              7      969181.2025     5628261.4123     2830347.6500      969182.8938     5628261.8550     2830347.8045       0.76264017       0.29424674       0.30110953 
         8: 2022-10-18  0: 4:59.9900000              7      969181.2025     5628261.4123     2830347.6500      969182.8028     5628262.1514     2830347.9483       0.65582569       0.25014579       0.25872966 
         9: 2022-10-18  0: 5:29.9900000              7      969181.2025     5628261.4123     2830347.6500      969182.6912     5628262.2419     2830347.9875       0.57163547       0.21609595       0.22553206 
        10: 2022-10-18  0: 5:59.9900000              7      969181.2025     5628261.4123     2830347.6500      969182.4758     5628262.2573     2830347.9765       0.50391825       0.18911310       0.19892965 
        11: 2022-10-18  0: 6:29.9900000              7      969181.2025     5628261.4123     2830347.6500      969181.9740     5628262.2491     2830347.9512       0.44848745       0.16727214       0.17720214 
        12: 2022-10-18  0: 6:59.9900000              7      969181.2025     5628261.4123     2830347.6500      969181.8809     5628262.3467     2830348.0608       0.40241704       0.14927828       0.15916583 
        13: 2022-10-18  0: 7:29.9900000              7      969181.2025     5628261.4123     2830347.6500      969181.5587     5628262.2900     2830348.0237       0.36361247       0.13423049       0.14398252 
        14: 2022-10-18  0: 7:59.9900000              7      969181.2025     5628261.4123     2830347.6500      969181.3212     5628262.3089     2830348.0518       0.33054220       0.12148386       0.13104407 
        15: 2022-10-18  0: 8:29.9900000              7      969181.2025     5628261.4123     2830347.6500      969181.1504     5628262.3671     2830348.0960       0.30206493       0.11056555       0.11989988 
        16: 2022-10-18  0: 8:59.9900000              7      969181.2025     5628261.4123     2830347.6500      969181.0903     5628262.3981     2830348.1370       0.27731554       0.10112171       0.11020980 
        17: 2022-10-18  0: 9:29.9900000              7      969181.2025     5628261.4123     2830347.6500      969181.1687     5628262.4249     2830348.1766       0.25562822       0.09288274       0.10171287 
        18: 2022-10-18  0: 9:59.9900000              7      969181.2025     5628261.4123     2830347.6500      969181.0086     5628262.4208     2830348.1598       0.23648350       0.08563999       0.09420598 
        19: 2022-10-18  0:10:29.9900000              7      969181.2025     5628261.4123     2830347.6500      969180.9620     5628262.4615     2830348.1860       0.21947097       0.07922964       0.08752894 
        20: 2022-10-18  0:10:59.9900000              7      969181.2025     5628261.4123     2830347.6500      969180.9733     5628262.5083     2830348.2234       0.20426279       0.07352153       0.08155398 
        21: 2022-10-18  0:11:29.9900000              7      969181.2025     5628261.4123     2830347.6500      969180.9700     5628262.5236     2830348.2281       0.19059432       0.06841100       0.07617808 
        22: 2022-10-18  0:11:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969181.0142     5628262.5681     2830348.2624       0.17824470       0.06381181       0.07131540 
        23: 2022-10-18  0:12:29.9900000              7      969181.2025     5628261.4123     2830347.6500      969180.9597     5628262.5503     2830348.2424       0.16704803       0.05965703       0.06690129 
        24: 2022-10-18  0:12:59.9900000              7      969181.2025     5628261.4123     2830347.6500      969180.9824     5628262.5471     2830348.2385       0.15685108       0.05588751       0.06287631 
        25: 2022-10-18  0:13:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969181.0246     5628262.5645     2830348.2554       0.14752813       0.05245450       0.05919172 
        26: 2022-10-18  0:13:59.9900000              7      969181.2025     5628261.4123     2830347.6500      969181.0656     5628262.5711     2830348.2667       0.13898264       0.04931917       0.05580990 
        27: 2022-10-18  0:14:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969181.1657     5628262.5971     2830348.2980       0.13112137       0.04644606       0.05269480 
        28: 2022-10-18  0:14:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969181.1409     5628262.6168     2830348.3049       0.12379673       0.04375673       0.04976397 
        29: 2022-10-18  0:15:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969181.1382     5628262.6193     2830348.3129       0.11692794       0.04121218       0.04697735 
        30: 2022-10-18  0:15:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969181.2040     5628262.6255     2830348.3273       0.11047457       0.03879668       0.04432019 
        31: 2022-10-18  0:16:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969181.1282     5628262.5888     2830348.2870       0.10441724       0.03650683       0.04179103 
        32: 2022-10-18  0:16:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969181.1032     5628262.5741     2830348.2623       0.09874520       0.03434449       0.03939395 
        33: 2022-10-18  0:17:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969181.1245     5628262.5709     2830348.2600       0.09344906       0.03231247       0.03713378 
        34: 2022-10-18  0:17:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969181.1142     5628262.5812     2830348.2602       0.08851712       0.03041220       0.03501360 
        35: 2022-10-18  0:18:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969181.1477     5628262.5890     2830348.2693       0.08393417       0.02864284       0.03303369 
        36: 2022-10-18  0:18:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969181.1107     5628262.5809     2830348.2591       0.07968175       0.02700125       0.03119155 
        37: 2022-10-18  0:19:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969181.0573     5628262.5804     2830348.2472       0.07573900       0.02548231       0.02948227 
        38: 2022-10-18  0:19:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9840     5628262.5730     2830348.2248       0.07208376       0.02407945       0.02789923 
        39: 2022-10-18  0:20:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9211     5628262.5590     2830348.2024       0.06869354       0.02278525       0.02643468 
        40: 2022-10-18  0:20:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8949     5628262.5431     2830348.1919       0.06554630       0.02159185       0.02508027 
        41: 2022-10-18  0:21:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9019     5628262.5369     2830348.1917       0.06262099       0.02049133       0.02382753 
        42: 2022-10-18  0:21:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9171     5628262.5405     2830348.2013       0.05989789       0.01947595       0.02266812 
        43: 2022-10-18  0:22:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9206     5628262.5424     2830348.2080       0.05735880       0.01853836       0.02159407 
        44: 2022-10-18  0:22:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9055     5628262.5333     2830348.2016       0.05498710       0.01767166       0.02059789 
        45: 2022-10-18  0:23:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8994     5628262.5277     2830348.1970       0.05276773       0.01686947       0.01967263 
        46: 2022-10-18  0:23:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8990     5628262.5270     2830348.1990       0.05068711       0.01612594       0.01881192 
        47: 2022-10-18  0:24:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8844     5628262.5218     2830348.1936       0.04873305       0.01543576       0.01800997 
        48: 2022-10-18  0:24:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8868     5628262.5266     2830348.1960       0.04689463       0.01479411       0.01726152 
        49: 2022-10-18  0:25:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9020     5628262.5292     2830348.2009       0.04516206       0.01419663       0.01656180 
        50: 2022-10-18  0:25:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9140     5628262.5317     2830348.2057       0.04352659       0.01363941       0.01590656 
        51: 2022-10-18  0:26:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9379     5628262.5414     2830348.2201       0.04198039       0.01311891       0.01529194 
        52: 2022-10-18  0:26:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9386     5628262.5471     2830348.2248       0.04051645       0.01263196       0.01471450 
        53: 2022-10-18  0:27:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9240     5628262.5414     2830348.2184       0.03912847       0.01217571       0.01417111 
        54: 2022-10-18  0:27:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9135     5628262.5414     2830348.2169       0.03781081       0.01174760       0.01365900 
        55: 2022-10-18  0:28:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8970     5628262.5348     2830348.2097       0.03655837       0.01134530       0.01317565 
        56: 2022-10-18  0:28:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8916     5628262.5299     2830348.2064       0.03536657       0.01096675       0.01271881 
        57: 2022-10-18  0:29:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8839     5628262.5330     2830348.2041       0.03423125       0.01061006       0.01228645 
        58: 2022-10-18  0:29:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8799     5628262.5340     2830348.2066       0.03314866       0.01027353       0.01187671 
        59: 2022-10-18  0:30:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8790     5628262.5301     2830348.2063       0.03211539       0.00995564       0.01148795 
        60: 2022-10-18  0:30:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8803     5628262.5313     2830348.2061       0.03112834       0.00965498       0.01111866 
        61: 2022-10-18  0:31:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8851     5628262.5298     2830348.2080       0.03018467       0.00937030       0.01076748 
        62: 2022-10-18  0:31:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8865     5628262.5267     2830348.2082       0.02928178       0.00910046       0.01043317 
        63: 2022-10-18  0:32:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8956     5628262.5296     2830348.2123       0.02841731       0.00884440       0.01011460 
        64: 2022-10-18  0:32:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9107     5628262.5312     2830348.2173       0.02758908       0.00860117       0.00981074 
        65: 2022-10-18  0:33:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9066     5628262.5308     2830348.2146       0.02679506       0.00836991       0.00952067 
        66: 2022-10-18  0:33:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9114     5628262.5322     2830348.2158       0.02603340       0.00814982       0.00924351 
        67: 2022-10-18  0:34:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9140     5628262.5324     2830348.2163       0.02530240       0.00794017       0.00897848 
        68: 2022-10-18  0:34:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9030     5628262.5302     2830348.2109       0.02460044       0.00774029       0.00872486 
        69: 2022-10-18  0:35:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8913     5628262.5285     2830348.2062       0.02392606       0.00754957       0.00848198 
        70: 2022-10-18  0:35:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.8959     5628262.5317     2830348.2101       0.02327787       0.00736744       0.00824923 
        71: 2022-10-18  0:36:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9058     5628262.5328     2830348.2130       0.02265459       0.00719338       0.00802604 
        72: 2022-10-18  0:36:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9097     5628262.5329     2830348.2120       0.02205501       0.00702691       0.00781188 
        73: 2022-10-18  0:37:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9116     5628262.5306     2830348.2123       0.02147801       0.00686757       0.00760627 
        74: 2022-10-18  0:37:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9159     5628262.5282     2830348.2122       0.02092254       0.00671497       0.00740875 
        75: 2022-10-18  0:38:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9027     5628262.5257     2830348.2087       0.02038760       0.00656871       0.00721891 
        76: 2022-10-18  0:38:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9065     5628262.5264     2830348.2111       0.01987226       0.00642844       0.00703636 
        77: 2022-10-18  0:39:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9126     5628262.5256     2830348.2120       0.01937563       0.00629383       0.00686072 
        78: 2022-10-18  0:39:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9108     5628262.5245     2830348.2119       0.01889690       0.00616458       0.00669166 
        79: 2022-10-18  0:40:29.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9116     5628262.5243     2830348.2120       0.01843527       0.00604039       0.00652887 
        80: 2022-10-18  0:40:59.9900000              8      969181.2025     5628261.4123     2830347.6500      969180.9108     5628262.5229     2830348.2116       0.01799000       0.00592100       0.00637203 
        81: 2022-10-18  0:41:29.9910000              8      969181.2025     5628261.4123     2830347.6500      969180.9038     5628262.5216     2830348.2096       0.01756040       0.00580616       0.00622087 
        82: 2022-10-18  0:41:59.9910000              8      969181.2025     5628261.4123     2830347.6500      969180.8964     5628262.5203     2830348.2075       0.01714579       0.00569564       0.00607512 
        83: 2022-10-18  0:42:29.9910000              8      969181.2025     5628261.4123     2830347.6500      969180.8863     5628262.5200     2830348.2057       0.01674555       0.00558922       0.00593454 
