     epoch         Observation time         ZTD(m)    clk_G(m)    clk_C(m)    clk_R(m)    clk_E(m)
         0: 2022-10-20  0: 1: 0.0120000   -2.6986  3668188.2554      0.0000      0.0000      0.0000   
         1: 2022-10-20  0: 1:30.0120000    3.8103  3671822.7023      0.0000      0.0000      0.0000   
         2: 2022-10-20  0: 2: 0.0120000    3.4571  3675483.0533      0.0000      0.0000      0.0000   
         3: 2022-10-20  0: 2:30.0120000    3.5112  3679140.3363      0.0000      0.0000      0.0000   
         4: 2022-10-20  0: 3: 0.0120000    3.3158  3682802.0202      0.0000      0.0000      0.0000   
         5: 2022-10-20  0: 3:30.0120000    3.0833  3686472.1692      0.0000      0.0000      0.0000   
         6: 2022-10-20  0: 4: 0.0120000    3.0895  3690131.8271      0.0000      0.0000      0.0000   
         7: 2022-10-20  0: 4:30.0120000    3.1010  3693784.2233      0.0000      0.0000      0.0000   
         8: 2022-10-20  0: 5: 0.0120000    2.9914  3697443.1048      0.0000      0.0000      0.0000   
         9: 2022-10-20  0: 5:30.0120000    2.9106  3701108.8279      0.0000      0.0000      0.0000   
        10: 2022-10-20  0: 6: 0.0120000    2.8438  3704785.2246      0.0000      0.0000      0.0000   
        11: 2022-10-20  0: 6:30.0120000    2.8020  3708459.6329      0.0000      0.0000      0.0000   
        12: 2022-10-20  0: 7: 0.0120000    2.7733  3712133.5986      0.0000      0.0000      0.0000   
        13: 2022-10-20  0: 7:30.0120000    2.7037  3715816.5497      0.0000      0.0000      0.0000   
        14: 2022-10-20  0: 8: 0.0120000    2.7149  3719502.9349      0.0000      0.0000      0.0000   
        15: 2022-10-20  0: 8:30.0120000    2.7357  3723195.3571      0.0000      0.0000      0.0000   
        16: 2022-10-20  0: 9: 0.0120000    2.7288  3726892.6133      0.0000      0.0000      0.0000   
        17: 2022-10-20  0: 9:30.0120000    2.6912  3730591.1795      0.0000      0.0000      0.0000   
        18: 2022-10-20  0:10: 0.0120000    2.6388  3734284.9436      0.0000      0.0000      0.0000   
        19: 2022-10-20  0:10:30.0120000    2.6265  3737972.6684      0.0000      0.0000      0.0000   
        20: 2022-10-20  0:11: 0.0120000    2.6118  3741656.0828      0.0000      0.0000      0.0000   
        21: 2022-10-20  0:11:30.0120000    2.6069  3745344.6689      0.0000      0.0000      0.0000   
        22: 2022-10-20  0:12: 0.0120000    2.5942  3749029.5342      0.0000      0.0000      0.0000   
        23: 2022-10-20  0:12:30.0130000    2.5804  3752711.3870      0.0000      0.0000      0.0000   
        24: 2022-10-20  0:13: 0.0130000    2.5630  3756389.4706      0.0000      0.0000      0.0000   
        25: 2022-10-20  0:13:30.0130000    2.5447  3760073.8525      0.0000      0.0000      0.0000   
        26: 2022-10-20  0:14: 0.0130000    2.5279  3763768.0623      0.0000      0.0000      0.0000   
        27: 2022-10-20  0:14:30.0130000    2.5124  3767458.8039      0.0000      0.0000      0.0000   
        28: 2022-10-20  0:15: 0.0130000    2.5013  3771144.7405      0.0000      0.0000      0.0000   
        29: 2022-10-20  0:15:30.0130000    2.5001  3774835.8074      0.0000      0.0000      0.0000   
        30: 2022-10-20  0:16: 0.0130000    2.4941  3778533.8996      0.0000      0.0000      0.0000   
        31: 2022-10-20  0:16:30.0130000    2.4910  3782231.2789      0.0000      0.0000      0.0000   
        32: 2022-10-20  0:17: 0.0130000    2.4805  3785927.1508      0.0000      0.0000      0.0000   
        33: 2022-10-20  0:17:30.0130000    2.4662  3789619.7627      0.0000      0.0000      0.0000   
        34: 2022-10-20  0:18: 0.0130000    2.4490  3793314.8288      0.0000      0.0000      0.0000   
        35: 2022-10-20  0:18:30.0130000    2.4388  3797007.5096      0.0000      0.0000      0.0000   
        36: 2022-10-20  0:19: 0.0130000    2.4358  3800706.7817      0.0000      0.0000      0.0000   
        37: 2022-10-20  0:19:30.0130000    2.4377  3804411.2375      0.0000      0.0000      0.0000   
        38: 2022-10-20  0:20: 0.0130000    2.4372  3808114.2108      0.0000      0.0000      0.0000   
        39: 2022-10-20  0:20:30.0130000    2.4367  3811816.7801      0.0000      0.0000      0.0000   
        40: 2022-10-20  0:21: 0.0130000    2.4349  3815522.5345      0.0000      0.0000      0.0000   
        41: 2022-10-20  0:21:30.0130000    2.4323  3819225.7531      0.0000      0.0000      0.0000   
        42: 2022-10-20  0:22: 0.0130000    2.4334  3822930.6966      0.0000      0.0000      0.0000   
        43: 2022-10-20  0:22:30.0130000    2.4312  3826641.3917      0.0000      0.0000      0.0000   
        44: 2022-10-20  0:23: 0.0130000    2.4311  3830349.0628      0.0000      0.0000      0.0000   
        45: 2022-10-20  0:23:30.0130000    2.4311  3834061.1088      0.0000      0.0000      0.0000   
        46: 2022-10-20  0:24: 0.0130000    2.4298  3837770.1183      0.0000      0.0000      0.0000   
        47: 2022-10-20  0:24:30.0130000    2.4283  3841475.9595      0.0000      0.0000      0.0000   
        48: 2022-10-20  0:25: 0.0130000    2.4271  3845188.3864      0.0000      0.0000      0.0000   
        49: 2022-10-20  0:25:30.0130000    2.4257  3848900.9065      0.0000      0.0000      0.0000   
        50: 2022-10-20  0:26: 0.0130000    2.4252  3852618.3345      0.0000      0.0000      0.0000   
        51: 2022-10-20  0:26:30.0130000    2.4257  3856333.0826      0.0000      0.0000      0.0000   
        52: 2022-10-20  0:27: 0.0130000    2.4289  3860047.0323      0.0000      0.0000      0.0000   
        53: 2022-10-20  0:27:30.0130000    2.4284  3863765.2443      0.0000      0.0000      0.0000   
        54: 2022-10-20  0:28: 0.0130000    2.4269  3867484.0972      0.0000      0.0000      0.0000   
        55: 2022-10-20  0:28:30.0130000    2.4276  3871205.3926      0.0000      0.0000      0.0000   
        56: 2022-10-20  0:29: 0.0130000    2.4281  3874929.5860      0.0000      0.0000      0.0000   
        57: 2022-10-20  0:29:30.0130000    2.4275  3878654.0758      0.0000      0.0000      0.0000   
        58: 2022-10-20  0:30: 0.0130000    2.4268  3882367.8735      0.0000      0.0000      0.0000   
        59: 2022-10-20  0:30:30.0130000    2.4264  3886081.7533      0.0000      0.0000      0.0000   
        60: 2022-10-20  0:31: 0.0130000    2.4245  3889800.6848      0.0000      0.0000      0.0000   
        61: 2022-10-20  0:31:30.0130000    2.4242  3893519.1454      0.0000      0.0000      0.0000   
        62: 2022-10-20  0:32: 0.0130000    2.4232  3897239.9741      0.0000      0.0000      0.0000   
        63: 2022-10-20  0:32:30.0130000    2.4226  3900952.3038      0.0000      0.0000      0.0000   
        64: 2022-10-20  0:33: 0.0130000    2.4222  3904664.1203      0.0000      0.0000      0.0000   
        65: 2022-10-20  0:33:30.0130000    2.4222  3908377.2756      0.0000      0.0000      0.0000   
        66: 2022-10-20  0:34: 0.0130000    2.4207  3912090.5278      0.0000      0.0000      0.0000   
        67: 2022-10-20  0:34:29.9920000    2.4189  -2379835.2067      0.0000      0.0000      0.0000   
        68: 2022-10-20  0:34:59.9920000    2.4189  -2376125.0901      0.0000      0.0000      0.0000   
        69: 2022-10-20  0:35:29.9920000    2.4191  -2372424.3580      0.0000      0.0000      0.0000   
        70: 2022-10-20  0:35:59.9920000    2.4187  -2368718.6603      0.0000      0.0000      0.0000   
        71: 2022-10-20  0:36:29.9920000    2.4193  -2365013.9643      0.0000      0.0000      0.0000   
        72: 2022-10-20  0:36:59.9920000    2.4191  -2361315.4249      0.0000      0.0000      0.0000   
        73: 2022-10-20  0:37:29.9920000    2.4183  -2357608.6302      0.0000      0.0000      0.0000   
        74: 2022-10-20  0:37:59.9920000    2.4178  -2353903.1376      0.0000      0.0000      0.0000   
        75: 2022-10-20  0:38:29.9920000    2.4176  -2350193.9966      0.0000      0.0000      0.0000   
        76: 2022-10-20  0:38:59.9920000    2.4171  -2346476.3541      0.0000      0.0000      0.0000   
        77: 2022-10-20  0:39:29.9920000    2.4176  -2342763.0070      0.0000      0.0000      0.0000   
        78: 2022-10-20  0:39:59.9920000    2.4175  -2339047.5829      0.0000      0.0000      0.0000   
        79: 2022-10-20  0:40:29.9920000    2.4173  -2335341.5855      0.0000      0.0000      0.0000   
        80: 2022-10-20  0:40:59.9920000    2.4179  -2331634.8799      0.0000      0.0000      0.0000   
        81: 2022-10-20  0:41:29.9920000    2.4184  -2327927.2772      0.0000      0.0000      0.0000   
        82: 2022-10-20  0:41:59.9920000    2.4182  -2324212.4463      0.0000      0.0000      0.0000   
        83: 2022-10-20  0:42:29.9920000    2.4179  -2320500.7282      0.0000      0.0000      0.0000   
        84: 2022-10-20  0:42:59.9920000    2.4189  -2316790.8808      0.0000      0.0000      0.0000   
