     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
         0: 2022-10-16  0: 0:59.9910000              7      969180.8167     5628260.8805     2830347.4866      969181.6148     5628276.0749     2830354.3981       4.31918421      13.88545297       6.90988948 
         1: 2022-10-16  0: 1:29.9910000              7      969180.8167     5628260.8805     2830347.4866      969176.8545     5628265.3507     2830347.6719       2.50999250       2.03849442       1.35180223 
         2: 2022-10-16  0: 1:59.9910000              7      969180.8167     5628260.8805     2830347.4866      969177.5155     5628261.9244     2830347.2064       1.74873153       1.06731513       0.77393749 
         3: 2022-10-16  0: 2:29.9910000              7      969180.8167     5628260.8805     2830347.4866      969178.6442     5628261.9325     2830347.2015       1.28135679       0.70099301       0.53185612 
         4: 2022-10-16  0: 2:59.9910000              7      969180.8167     5628260.8805     2830347.4866      969179.6135     5628262.0805     2830347.3737       0.98601546       0.51068099       0.39800229 
         5: 2022-10-16  0: 3:29.9910000              7      969180.8167     5628260.8805     2830347.4866      969180.4697     5628262.3524     2830347.8118       0.78914496       0.39550874       0.31400217 
         6: 2022-10-16  0: 3:59.9910000              7      969180.8167     5628260.8805     2830347.4866      969181.0714     5628262.5731     2830348.0315       0.65117148       0.31910840       0.25700545 
         7: 2022-10-16  0: 4:29.9910000              7      969180.8167     5628260.8805     2830347.4866      969180.9965     5628262.4833     2830347.9662       0.55034451       0.26517394       0.21615405 
         8: 2022-10-16  0: 4:59.9910000              7      969180.8167     5628260.8805     2830347.4866      969181.2083     5628262.6143     2830348.0322       0.47410254       0.22533486       0.18565058 
         9: 2022-10-16  0: 5:29.9910000              7      969180.8167     5628260.8805     2830347.4866      969181.4694     5628262.7759     2830348.2077       0.41481419       0.19487096       0.16213512 
        10: 2022-10-16  0: 5:59.9910000              7      969180.8167     5628260.8805     2830347.4866      969181.8645     5628262.8661     2830348.3735       0.36762808       0.17092945       0.14353641 
        11: 2022-10-16  0: 6:29.9910000              7      969180.8167     5628260.8805     2830347.4866      969182.2374     5628263.0332     2830348.5454       0.32933641       0.15169102       0.12851376 
        12: 2022-10-16  0: 6:59.9910000              7      969180.8167     5628260.8805     2830347.4866      969182.1578     5628263.1371     2830348.5698       0.29774523       0.13594420       0.11616419 
