     epoch         Observation time         ZTD(m)    clk_G(m)    clk_C(m)    clk_R(m)    clk_E(m)
         0: 2022-10-16  0: 0:59.9910000   -3.0398  -2790553.6571      0.0000      0.0000      0.0000   
         1: 2022-10-16  0: 1:29.9910000    1.7308  -2786860.5408      0.0000      0.0000      0.0000   
         2: 2022-10-16  0: 1:59.9910000    2.2877  -2783143.3509      0.0000      0.0000      0.0000   
         3: 2022-10-16  0: 2:29.9910000    2.5389  -2779416.8930      0.0000      0.0000      0.0000   
         4: 2022-10-16  0: 2:59.9910000    2.5248  -2775690.9300      0.0000      0.0000      0.0000   
         5: 2022-10-16  0: 3:29.9910000    2.4320  -2771976.5599      0.0000      0.0000      0.0000   
         6: 2022-10-16  0: 3:59.9910000    2.3739  -2768272.6892      0.0000      0.0000      0.0000   
         7: 2022-10-16  0: 4:29.9910000    2.3989  -2764566.9608      0.0000      0.0000      0.0000   
         8: 2022-10-16  0: 4:59.9910000    2.4182  -2760852.5500      0.0000      0.0000      0.0000   
         9: 2022-10-16  0: 5:29.9910000    2.3853  -2757125.0074      0.0000      0.0000      0.0000   
        10: 2022-10-16  0: 5:59.9910000    2.3518  -2753392.5388      0.0000      0.0000      0.0000   
        11: 2022-10-16  0: 6:29.9910000    2.3184  -2749661.5781      0.0000      0.0000      0.0000   
        12: 2022-10-16  0: 6:59.9910000    2.3110  -2745943.1802      0.0000      0.0000      0.0000   
        13: 2022-10-16  0: 7:29.9910000    2.3139  -2742234.5470      0.0000      0.0000      0.0000   
        14: 2022-10-16  0: 7:59.9910000    2.3281  -2738534.0241      0.0000      0.0000      0.0000   
        15: 2022-10-16  0: 8:29.9910000    2.3301  -2734836.6726      0.0000      0.0000      0.0000   
        16: 2022-10-16  0: 8:59.9910000    2.3553  -2731143.5366      0.0000      0.0000      0.0000   
        17: 2022-10-16  0: 9:29.9910000    2.3687  -2727449.1451      0.0000      0.0000      0.0000   
        18: 2022-10-16  0: 9:59.9910000    2.3815  -2723743.7834      0.0000      0.0000      0.0000   
        19: 2022-10-16  0:10:29.9910000    2.4035  -2720042.8838      0.0000      0.0000      0.0000   
        20: 2022-10-16  0:10:59.9910000    2.4095  -2716338.4602      0.0000      0.0000      0.0000   
        21: 2022-10-16  0:11:29.9910000    2.4146  -2712621.4396      0.0000      0.0000      0.0000   
        22: 2022-10-16  0:11:59.9910000    2.4260  -2708908.9157      0.0000      0.0000      0.0000   
        23: 2022-10-16  0:12:29.9910000    2.4342  -2705208.4597      0.0000      0.0000      0.0000   
        24: 2022-10-16  0:12:59.9910000    2.4310  -2701511.3994      0.0000      0.0000      0.0000   
        25: 2022-10-16  0:13:29.9910000    2.4340  -2697804.7411      0.0000      0.0000      0.0000   
        26: 2022-10-16  0:13:59.9910000    2.4392  -2694085.9878      0.0000      0.0000      0.0000   
        27: 2022-10-16  0:14:29.9910000    2.4425  -2690369.0861      0.0000      0.0000      0.0000   
        28: 2022-10-16  0:14:59.9910000    2.4452  -2686660.5217      0.0000      0.0000      0.0000   
        29: 2022-10-16  0:15:29.9910000    2.4487  -2682950.8503      0.0000      0.0000      0.0000   
        30: 2022-10-16  0:15:59.9910000    2.4511  -2679235.0064      0.0000      0.0000      0.0000   
        31: 2022-10-16  0:16:29.9910000    2.4591  -2675515.3037      0.0000      0.0000      0.0000   
        32: 2022-10-16  0:16:59.9910000    2.4636  -2671795.0892      0.0000      0.0000      0.0000   
        33: 2022-10-16  0:17:29.9910000    2.4644  -2668084.7363      0.0000      0.0000      0.0000   
        34: 2022-10-16  0:17:59.9910000    2.4664  -2664371.3938      0.0000      0.0000      0.0000   
        35: 2022-10-16  0:18:29.9910000    2.4676  -2660657.9303      0.0000      0.0000      0.0000   
