     epoch         Observation time         ZTD(m)    clk_G(m)    clk_C(m)    clk_R(m)    clk_E(m)
         0: 2022-10-22  0: 0:59.9930000   -0.5881  -2118432.0787      0.0000      0.0000      0.0000   
         1: 2022-10-22  0: 1:29.9930000    1.4602  -2114952.6641      0.0000      0.0000      0.0000   
         2: 2022-10-22  0: 1:59.9930000    1.9350  -2111464.1890      0.0000      0.0000      0.0000   
         3: 2022-10-22  0: 2:29.9930000    2.1752  -2107963.4532      0.0000      0.0000      0.0000   
         4: 2022-10-22  0: 2:59.9930000    2.2705  -2104456.3641      0.0000      0.0000      0.0000   
         5: 2022-10-22  0: 3:29.9930000    2.3800  -2100948.9863      0.0000      0.0000      0.0000   
         6: 2022-10-22  0: 3:59.9930000    2.3989  -2097430.9825      0.0000      0.0000      0.0000   
         7: 2022-10-22  0: 4:29.9930000    2.4263  -2093917.9286      0.0000      0.0000      0.0000   
         8: 2022-10-22  0: 4:59.9930000    2.3994  -2090406.3019      0.0000      0.0000      0.0000   
         9: 2022-10-22  0: 5:29.9930000    2.3955  -2086888.2634      0.0000      0.0000      0.0000   
        10: 2022-10-22  0: 5:59.9930000    2.3763  -2083366.0077      0.0000      0.0000      0.0000   
        11: 2022-10-22  0: 6:29.9930000    2.3683  -2079838.1678      0.0000      0.0000      0.0000   
        12: 2022-10-22  0: 6:59.9930000    2.3727  -2076308.4178      0.0000      0.0000      0.0000   
        13: 2022-10-22  0: 7:29.9930000    2.3804  -2072781.6878      0.0000      0.0000      0.0000   
        14: 2022-10-22  0: 7:59.9930000    2.3834  -2069250.4026      0.0000      0.0000      0.0000   
        15: 2022-10-22  0: 8:29.9930000    2.3830  -2065718.7072      0.0000      0.0000      0.0000   
        16: 2022-10-22  0: 8:59.9930000    2.3890  -2062188.0920      0.0000      0.0000      0.0000   
        17: 2022-10-22  0: 9:29.9930000    2.3788  -2058652.0093      0.0000      0.0000      0.0000   
        18: 2022-10-22  0: 9:59.9930000    2.3657  -2055119.1974      0.0000      0.0000      0.0000   
        19: 2022-10-22  0:10:29.9930000    2.3648  -2051586.6324      0.0000      0.0000      0.0000   
        20: 2022-10-22  0:10:59.9930000    2.3786  -2048053.6595      0.0000      0.0000      0.0000   
        21: 2022-10-22  0:11:29.9930000    2.3851  -2044529.2944      0.0000      0.0000      0.0000   
        22: 2022-10-22  0:11:59.9930000    2.3890  -2040999.2117      0.0000      0.0000      0.0000   
        23: 2022-10-22  0:12:29.9930000    2.3901  -2037465.1693      0.0000      0.0000      0.0000   
        24: 2022-10-22  0:12:59.9930000    2.3904  -2033932.9885      0.0000      0.0000      0.0000   
        25: 2022-10-22  0:13:29.9930000    2.3883  -2030392.2148      0.0000      0.0000      0.0000   
        26: 2022-10-22  0:13:59.9930000    2.3889  -2026853.9577      0.0000      0.0000      0.0000   
        27: 2022-10-22  0:14:29.9930000    2.3886  -2023314.4732      0.0000      0.0000      0.0000   
        28: 2022-10-22  0:14:59.9930000    2.3906  -2019785.7086      0.0000      0.0000      0.0000   
        29: 2022-10-22  0:15:29.9930000    2.3941  -2016259.4302      0.0000      0.0000      0.0000   
        30: 2022-10-22  0:15:59.9930000    2.3961  -2012729.9841      0.0000      0.0000      0.0000   
        31: 2022-10-22  0:16:29.9930000    2.3962  -2009198.6282      0.0000      0.0000      0.0000   
        32: 2022-10-22  0:16:59.9930000    2.3964  -2005671.7092      0.0000      0.0000      0.0000   
        33: 2022-10-22  0:17:29.9930000    2.3953  -2002145.4344      0.0000      0.0000      0.0000   
        34: 2022-10-22  0:17:59.9930000    2.3951  -1998626.2030      0.0000      0.0000      0.0000   
        35: 2022-10-22  0:18:29.9930000    2.3981  -1995101.7681      0.0000      0.0000      0.0000   
        36: 2022-10-22  0:18:59.9930000    2.3992  -1991574.0130      0.0000      0.0000      0.0000   
        37: 2022-10-22  0:19:29.9930000    2.3978  -1988041.6611      0.0000      0.0000      0.0000   
        38: 2022-10-22  0:19:59.9930000    2.3976  -1984517.5666      0.0000      0.0000      0.0000   
        39: 2022-10-22  0:20:29.9930000    2.4003  -1980998.5400      0.0000      0.0000      0.0000   
        40: 2022-10-22  0:20:59.9930000    2.4014  -1977483.3067      0.0000      0.0000      0.0000   
        41: 2022-10-22  0:21:29.9930000    2.4012  -1973970.2607      0.0000      0.0000      0.0000   
        42: 2022-10-22  0:21:59.9930000    2.4009  -1970454.1912      0.0000      0.0000      0.0000   
        43: 2022-10-22  0:22:29.9930000    2.4003  -1966942.8149      0.0000      0.0000      0.0000   
        44: 2022-10-22  0:22:59.9930000    2.3994  -1963430.4553      0.0000      0.0000      0.0000   
        45: 2022-10-22  0:23:29.9930000    2.3994  -1959916.4255      0.0000      0.0000      0.0000   
        46: 2022-10-22  0:23:59.9930000    2.4002  -1956397.2387      0.0000      0.0000      0.0000   
        47: 2022-10-22  0:24:29.9930000    2.3996  -1952877.4311      0.0000      0.0000      0.0000   
        48: 2022-10-22  0:24:59.9930000    2.3996  -1949358.3649      0.0000      0.0000      0.0000   
        49: 2022-10-22  0:25:29.9940000    2.3994  -1945835.3438      0.0000      0.0000      0.0000   
        50: 2022-10-22  0:25:59.9940000    2.4000  -1942317.1828      0.0000      0.0000      0.0000   
        51: 2022-10-22  0:26:29.9940000    2.4005  -1938799.4400      0.0000      0.0000      0.0000   
        52: 2022-10-22  0:26:59.9940000    2.4000  -1935274.5274      0.0000      0.0000      0.0000   
        53: 2022-10-22  0:27:29.9940000    2.4005  -1931759.2748      0.0000      0.0000      0.0000   
        54: 2022-10-22  0:27:59.9940000    2.3999  -1928243.4892      0.0000      0.0000      0.0000   
        55: 2022-10-22  0:28:29.9940000    2.3997  -1924724.1764      0.0000      0.0000      0.0000   
        56: 2022-10-22  0:28:59.9940000    2.3991  -1921206.7334      0.0000      0.0000      0.0000   
        57: 2022-10-22  0:29:29.9940000    2.3994  -1917686.6388      0.0000      0.0000      0.0000   
        58: 2022-10-22  0:29:59.9940000    2.3999  -1914165.5424      0.0000      0.0000      0.0000   
        59: 2022-10-22  0:30:29.9940000    2.4006  -1910647.4985      0.0000      0.0000      0.0000   
        60: 2022-10-22  0:30:59.9940000    2.4019  -1907137.7474      0.0000      0.0000      0.0000   
        61: 2022-10-22  0:31:29.9940000    2.4030  -1903627.4316      0.0000      0.0000      0.0000   
        62: 2022-10-22  0:31:59.9940000    2.4029  -1900113.9566      0.0000      0.0000      0.0000   
        63: 2022-10-22  0:32:29.9940000    2.4040  -1896602.9002      0.0000      0.0000      0.0000   
        64: 2022-10-22  0:32:59.9940000    2.4048  -1893086.5956      0.0000      0.0000      0.0000   
        65: 2022-10-22  0:33:29.9940000    2.4058  -1889569.6751      0.0000      0.0000      0.0000   
        66: 2022-10-22  0:33:59.9940000    2.4066  -1886057.6295      0.0000      0.0000      0.0000   
        67: 2022-10-22  0:34:29.9940000    2.4073  -1882549.9721      0.0000      0.0000      0.0000   
        68: 2022-10-22  0:34:59.9940000    2.4083  -1879037.8417      0.0000      0.0000      0.0000   
        69: 2022-10-22  0:35:29.9940000    2.4087  -1875526.6607      0.0000      0.0000      0.0000   
        70: 2022-10-22  0:35:59.9940000    2.4092  -1872022.6299      0.0000      0.0000      0.0000   
        71: 2022-10-22  0:36:29.9940000    2.4096  -1868519.7121      0.0000      0.0000      0.0000   
        72: 2022-10-22  0:36:59.9940000    2.4095  -1865020.0348      0.0000      0.0000      0.0000   
        73: 2022-10-22  0:37:29.9940000    2.4093  -1861521.0279      0.0000      0.0000      0.0000   
        74: 2022-10-22  0:37:59.9940000    2.4094  -1858007.9488      0.0000      0.0000      0.0000   
        75: 2022-10-22  0:38:29.9940000    2.4099  -1854500.2899      0.0000      0.0000      0.0000   
        76: 2022-10-22  0:38:59.9940000    2.4105  -1850998.9789      0.0000      0.0000      0.0000   
        77: 2022-10-22  0:39:29.9940000    2.4111  -1847489.2736      0.0000      0.0000      0.0000   
        78: 2022-10-22  0:39:59.9940000    2.4107  -1843974.3836      0.0000      0.0000      0.0000   
