     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
         0: 2022-10-19  0: 1: 0.0120000              5      969180.3358     5628262.5047     2830347.7488      969174.9186     5628264.6030     2830349.7887      11.82414802      20.49885177       8.55438025 
         1: 2022-10-19  0: 1:30.0120000              5      969180.3358     5628262.5047     2830347.7488      969175.2911     5628283.6290     2830361.7921       4.27803317       4.27852135       3.29152891 
         2: 2022-10-19  0: 2: 0.0120000              5      969180.3358     5628262.5047     2830347.7488      969174.5381     5628277.2937     2830358.8370       3.60161691       2.76562132       2.35309494 
         3: 2022-10-19  0: 2:30.0120000              7      969180.3358     5628262.5047     2830347.7488      969174.5705     5628267.7883     2830351.3492       2.60405954       1.67710628       1.50755756 
         4: 2022-10-19  0: 3: 0.0120000              7      969180.3358     5628262.5047     2830347.7488      969174.3225     5628264.2739     2830348.7977       1.93411000       1.06593439       1.00141173 
         5: 2022-10-19  0: 3:30.0120000              7      969180.3358     5628262.5047     2830347.7488      969173.7874     5628262.4183     2830347.5176       1.49204790       0.73926167       0.71899948 
         6: 2022-10-19  0: 4: 0.0120000              7      969180.3358     5628262.5047     2830347.7488      969174.3537     5628262.4063     2830347.4162       1.18764574       0.54813093       0.54760396 
         7: 2022-10-19  0: 4:30.0120000              7      969180.3358     5628262.5047     2830347.7488      969174.4816     5628262.3136     2830347.1697       0.96939512       0.42613880       0.43473738 
         8: 2022-10-19  0: 5: 0.0120000              7      969180.3358     5628262.5047     2830347.7488      969175.5947     5628262.3022     2830347.2822       0.80759860       0.34289124       0.35567579 
         9: 2022-10-19  0: 5:30.0120000              7      969180.3358     5628262.5047     2830347.7488      969176.2507     5628262.2058     2830347.1965       0.68424661       0.28313783       0.29767706 
        10: 2022-10-19  0: 6: 0.0120000              7      969180.3358     5628262.5047     2830347.7488      969176.9130     5628262.3330     2830347.3812       0.58794109       0.23854473       0.25359643 
        11: 2022-10-19  0: 6:30.0120000              7      969180.3358     5628262.5047     2830347.7488      969177.1342     5628262.3645     2830347.4637       0.51120539       0.20422585       0.21914345 
        12: 2022-10-19  0: 7: 0.0120000              7      969180.3358     5628262.5047     2830347.7488      969177.6416     5628262.4296     2830347.5282       0.44898352       0.17715010       0.19159876 
        13: 2022-10-19  0: 7:30.0120000              7      969180.3358     5628262.5047     2830347.7488      969178.0296     5628262.4633     2830347.6170       0.39776075       0.15534779       0.16916103 
        14: 2022-10-19  0: 8: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969178.3058     5628262.4969     2830347.6424       0.35498565       0.13747641       0.15057520 
        15: 2022-10-19  0: 8:30.0120000              7      969180.3358     5628262.5047     2830347.7488      969178.3779     5628262.4124     2830347.6007       0.31894347       0.12263868       0.13500834 
        16: 2022-10-19  0: 9: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969178.7191     5628262.4238     2830347.6734       0.28819116       0.11014656       0.12179080 
        17: 2022-10-19  0: 9:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969179.0870     5628262.4426     2830347.7411       0.26073507       0.09869706       0.10959273 
        18: 2022-10-19  0:10: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969179.4087     5628262.4788     2830347.8261       0.23603182       0.08807462       0.09821152 
        19: 2022-10-19  0:10:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969179.7421     5628262.5677     2830347.9597       0.21401943       0.07840704       0.08780401 
        20: 2022-10-19  0:11: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969179.9158     5628262.6010     2830348.0231       0.19464968       0.06982362       0.07852492 
        21: 2022-10-19  0:11:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.0417     5628262.6140     2830348.0591       0.17775358       0.06235056       0.07041496 
        22: 2022-10-19  0:12: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.1522     5628262.5844     2830348.0536       0.16306603       0.05592209       0.06341259 
        23: 2022-10-19  0:12:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.0999     5628262.4927     2830347.9764       0.15028646       0.05042216       0.05739944 
        24: 2022-10-19  0:13: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.1706     5628262.4912     2830347.9880       0.13912426       0.04571953       0.05223865 
        25: 2022-10-19  0:13:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.2858     5628262.5127     2830348.0202       0.12932136       0.04168827       0.04779758 
        26: 2022-10-19  0:14: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.3973     5628262.5498     2830348.0658       0.12065895       0.03821694       0.04395821 
        27: 2022-10-19  0:14:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.4210     5628262.5735     2830348.0988       0.11295593       0.03521113       0.04062010 
        28: 2022-10-19  0:15: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.4175     5628262.5740     2830348.0906       0.10606402       0.03259262       0.03769991 
        29: 2022-10-19  0:15:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.4519     5628262.5711     2830348.0902       0.09986222       0.03029743       0.03512924 
        30: 2022-10-19  0:16: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.3993     5628262.5684     2830348.0868       0.09425159       0.02827343       0.03285231 
        31: 2022-10-19  0:16:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.3731     5628262.5744     2830348.0870       0.08915093       0.02647817       0.03082361 
        32: 2022-10-19  0:17: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.3755     5628262.5642     2830348.0818       0.08449315       0.02487702       0.02900595 
        33: 2022-10-19  0:17:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.3907     5628262.5573     2830348.0800       0.08022247       0.02344158       0.02736882 
        34: 2022-10-19  0:18: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.4086     5628262.5597     2830348.0888       0.07629223       0.02214847       0.02588707 
        35: 2022-10-19  0:18:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.4810     5628262.5602     2830348.1005       0.07266305       0.02097834       0.02453985 
        36: 2022-10-19  0:19: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.5072     5628262.5599     2830348.1087       0.06930155       0.01991506       0.02330977 
        37: 2022-10-19  0:19:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.5100     5628262.5569     2830348.1152       0.06617921       0.01894515       0.02218227 
        38: 2022-10-19  0:20: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.5111     5628262.5480     2830348.1136       0.06327152       0.01805721       0.02114506 
        39: 2022-10-19  0:20:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.5254     5628262.5445     2830348.1118       0.06055731       0.01724161       0.02018772 
        40: 2022-10-19  0:21: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.5604     5628262.5480     2830348.1163       0.05801818       0.01649014       0.01930137 
        41: 2022-10-19  0:21:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.5775     5628262.5421     2830348.1180       0.05563806       0.01579577       0.01847838 
        42: 2022-10-19  0:22: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.6251     5628262.5448     2830348.1309       0.05340285       0.01515243       0.01771221 
        43: 2022-10-19  0:22:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.6527     5628262.5479     2830348.1419       0.05130013       0.01455489       0.01699717 
        44: 2022-10-19  0:23: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.6513     5628262.5459     2830348.1417       0.04931890       0.01399859       0.01632832 
        45: 2022-10-19  0:23:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.6514     5628262.5398     2830348.1357       0.04744937       0.01347957       0.01570135 
        46: 2022-10-19  0:24: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.6454     5628262.5397     2830348.1315       0.04568285       0.01299433       0.01511247 
        47: 2022-10-19  0:24:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.6464     5628262.5319     2830348.1308       0.04401151       0.01253980       0.01455836 
        48: 2022-10-19  0:25: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.6800     5628262.5355     2830348.1399       0.04242835       0.01211329       0.01403606 
        49: 2022-10-19  0:25:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.6875     5628262.5393     2830348.1457       0.04092706       0.01171239       0.01354297 
        50: 2022-10-19  0:26: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.7005     5628262.5390     2830348.1531       0.03950191       0.01133495       0.01307674 
        51: 2022-10-19  0:26:30.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.7254     5628262.5411     2830348.1621       0.03814774       0.01097908       0.01263530 
        52: 2022-10-19  0:27: 0.0120000              8      969180.3358     5628262.5047     2830347.7488      969180.7441     5628262.5392     2830348.1653       0.03685983       0.01064306       0.01221679 
