     epoch         Observation time         ZTD(m)    clk_G(m)    clk_C(m)    clk_R(m)    clk_E(m)
        63: 2022-10-19  0:32:29.9910000    2.3989  -2589437.8333      0.0000      0.0000      0.0000   
        64: 2022-10-19  0:32:59.9910000    2.3987  -2585786.7510      0.0000      0.0000      0.0000   
        65: 2022-10-19  0:33:29.9910000    2.3977  -2582137.2611      0.0000      0.0000      0.0000   
        66: 2022-10-19  0:33:59.9910000    2.3975  -2578493.5168      0.0000      0.0000      0.0000   
        67: 2022-10-19  0:34:29.9910000    2.3976  -2574851.0653      0.0000      0.0000      0.0000   
        68: 2022-10-19  0:34:59.9910000    2.3960  -2571207.2196      0.0000      0.0000      0.0000   
        69: 2022-10-19  0:35:29.9910000    2.3950  -2567555.5247      0.0000      0.0000      0.0000   
        70: 2022-10-19  0:35:59.9910000    2.3943  -2563895.0896      0.0000      0.0000      0.0000   
        71: 2022-10-19  0:36:29.9910000    2.3932  -2560243.3011      0.0000      0.0000      0.0000   
        72: 2022-10-19  0:36:59.9910000    2.3926  -2556585.6739      0.0000      0.0000      0.0000   
        73: 2022-10-19  0:37:29.9910000    2.3922  -2552930.2534      0.0000      0.0000      0.0000   
        74: 2022-10-19  0:37:59.9910000    2.3920  -2549269.8917      0.0000      0.0000      0.0000   
        75: 2022-10-19  0:38:29.9920000    2.3923  -2545606.1002      0.0000      0.0000      0.0000   
        76: 2022-10-19  0:38:59.9920000    2.3917  -2541935.5865      0.0000      0.0000      0.0000   
        77: 2022-10-19  0:39:29.9920000    2.3922  -2538263.0177      0.0000      0.0000      0.0000   
        78: 2022-10-19  0:39:59.9920000    2.3920  -2534592.8259      0.0000      0.0000      0.0000   
        79: 2022-10-19  0:40:29.9920000    2.3922  -2530929.3918      0.0000      0.0000      0.0000   
        80: 2022-10-19  0:40:59.9920000    2.3926  -2527271.5835      0.0000      0.0000      0.0000   
        81: 2022-10-19  0:41:29.9920000    2.3925  -2523614.3778      0.0000      0.0000      0.0000   
        82: 2022-10-19  0:41:59.9920000    2.3925  -2519955.4437      0.0000      0.0000      0.0000   
        83: 2022-10-19  0:42:29.9920000    2.3926  -2516278.8251      0.0000      0.0000      0.0000   
        84: 2022-10-19  0:42:59.9920000    2.3924  -2512598.6183      0.0000      0.0000      0.0000   
        85: 2022-10-19  0:43:29.9920000    2.3927  -2508926.1958      0.0000      0.0000      0.0000   
        86: 2022-10-19  0:43:59.9920000    2.3929  -2505245.3580      0.0000      0.0000      0.0000   
        87: 2022-10-19  0:44:29.9920000    2.3927  -2501571.4272      0.0000      0.0000      0.0000   
        88: 2022-10-19  0:44:59.9920000    2.3932  -2497892.3716      0.0000      0.0000      0.0000   
        89: 2022-10-19  0:45:29.9920000    2.3935  -2494217.7011      0.0000      0.0000      0.0000   
        90: 2022-10-19  0:45:59.9920000    2.3937  -2490548.4108      0.0000      0.0000      0.0000   
        91: 2022-10-19  0:46:29.9920000    2.3935  -2486877.4578      0.0000      0.0000      0.0000   
        92: 2022-10-19  0:46:59.9920000    2.3937  -2483207.4295      0.0000      0.0000      0.0000   
        93: 2022-10-19  0:47:29.9920000    2.3947  -2479526.1700      0.0000      0.0000      0.0000   
        94: 2022-10-19  0:47:59.9920000    2.3948  -2475842.2574      0.0000      0.0000      0.0000   
        95: 2022-10-19  0:48:29.9920000    2.3945  -2472159.8437      0.0000      0.0000      0.0000   
        96: 2022-10-19  0:48:59.9920000    2.3946  -2468477.1191      0.0000      0.0000      0.0000   
        97: 2022-10-19  0:49:29.9920000    2.3944  -2464792.3470      0.0000      0.0000      0.0000   
        98: 2022-10-19  0:49:59.9920000    2.3946  -2461108.2518      0.0000      0.0000      0.0000   
        99: 2022-10-19  0:50:29.9920000    2.3946  -2457430.0043      0.0000      0.0000      0.0000   
       100: 2022-10-19  0:50:59.9920000    2.3950  -2453748.8711      0.0000      0.0000      0.0000   
       101: 2022-10-19  0:51:29.9920000    2.3950  -2450063.0896      0.0000      0.0000      0.0000   
       102: 2022-10-19  0:51:59.9920000    2.3950  -2446376.2049      0.0000      0.0000      0.0000   
       103: 2022-10-19  0:52:29.9920000    2.3944  -2442689.0798      0.0000      0.0000      0.0000   
       104: 2022-10-19  0:52:59.9920000    2.3940  -2439006.2953      0.0000      0.0000      0.0000   
       105: 2022-10-19  0:53:29.9920000    2.3942  -2435318.7225      0.0000      0.0000      0.0000   
       106: 2022-10-19  0:53:59.9920000    2.3938  -2431620.9552      0.0000      0.0000      0.0000   
       107: 2022-10-19  0:54:29.9920000    2.3933  -2427926.2730      0.0000      0.0000      0.0000   
       108: 2022-10-19  0:54:59.9920000    2.3928  -2424232.0541      0.0000      0.0000      0.0000   
       109: 2022-10-19  0:55:29.9920000    2.3925  -2420542.3586      0.0000      0.0000      0.0000   
       110: 2022-10-19  0:55:59.9920000    2.3923  -2416854.9136      0.0000      0.0000      0.0000   
       111: 2022-10-19  0:56:29.9920000    2.3924  -2413165.4342      0.0000      0.0000      0.0000   
       112: 2022-10-19  0:56:59.9920000    2.3925  -2409477.2559      0.0000      0.0000      0.0000   
       113: 2022-10-19  0:57:29.9920000    2.3923  -2405788.4306      0.0000      0.0000      0.0000   
       114: 2022-10-19  0:57:59.9920000    2.3925  -2402099.2392      0.0000      0.0000      0.0000   
       115: 2022-10-19  0:58:29.9920000    2.3926  -2398410.9059      0.0000      0.0000      0.0000   
       116: 2022-10-19  0:58:59.9920000    2.3923  -2394717.1498      0.0000      0.0000      0.0000   
       117: 2022-10-19  0:59:29.9920000    2.3920  -2391009.3951      0.0000      0.0000      0.0000   
       118: 2022-10-19  0:59:59.9920000    2.3918  -2387296.7456      0.0000      0.0000      0.0000   
       119: 2022-10-19  1: 0:29.9920000    2.3918  -2383591.4769      0.0000      0.0000      0.0000   
       120: 2022-10-19  1: 0:59.9920000    2.3919  -2379889.7607      0.0000      0.0000      0.0000   
       121: 2022-10-19  1: 1:29.9920000    2.3919  -2376187.7570      0.0000      0.0000      0.0000   
       122: 2022-10-19  1: 1:59.9920000    2.3916  -2372468.6909      0.0000      0.0000      0.0000   
       123: 2022-10-19  1: 2:29.9920000    2.3916  -2368748.0363      0.0000      0.0000      0.0000   
       124: 2022-10-19  1: 2:59.9920000    2.3916  -2365030.3863      0.0000      0.0000      0.0000   
       125: 2022-10-19  1: 3:29.9920000    2.3914  -2361302.7425      0.0000      0.0000      0.0000   
       126: 2022-10-19  1: 3:59.9920000    2.3912  -2357567.0327      0.0000      0.0000      0.0000   
       127: 2022-10-19  1: 4:29.9920000    2.3912  -2353834.9334      0.0000      0.0000      0.0000   
       128: 2022-10-19  1: 4:59.9920000    2.3911  -2350101.0246      0.0000      0.0000      0.0000   
       129: 2022-10-19  1: 5:29.9920000    2.3914  -2346370.8049      0.0000      0.0000      0.0000   
       130: 2022-10-19  1: 5:59.9920000    2.3917  -2342634.9771      0.0000      0.0000      0.0000   
       131: 2022-10-19  1: 6:29.9920000    2.3917  -2338891.8129      0.0000      0.0000      0.0000   
       132: 2022-10-19  1: 6:59.9920000    2.3915  -2335142.1733      0.0000      0.0000      0.0000   
       133: 2022-10-19  1: 7:29.9920000    2.3915  -2331389.6250      0.0000      0.0000      0.0000   
       134: 2022-10-19  1: 7:59.9920000    2.3914  -2327640.4109      0.0000      0.0000      0.0000   
       135: 2022-10-19  1: 8:29.9920000    2.3913  -2323895.0217      0.0000      0.0000      0.0000   
       136: 2022-10-19  1: 8:59.9920000    2.3912  -2320144.3298      0.0000      0.0000      0.0000   
       137: 2022-10-19  1: 9:29.9920000    2.3913  -2316395.7857      0.0000      0.0000      0.0000   
       138: 2022-10-19  1: 9:59.9920000    2.3914  -2312642.7704      0.0000      0.0000      0.0000   
       139: 2022-10-19  1:10:29.9920000    2.3914  -2308886.5438      0.0000      0.0000      0.0000   
       140: 2022-10-19  1:10:59.9920000    2.3914  -2305131.5933      0.0000      0.0000      0.0000   
       141: 2022-10-19  1:11:29.9920000    2.3915  -2301374.8469      0.0000      0.0000      0.0000   
       142: 2022-10-19  1:11:59.9920000    2.3915  -2297621.5608      0.0000      0.0000      0.0000   
       143: 2022-10-19  1:12:29.9920000    2.3915  -2293870.7472      0.0000      0.0000      0.0000   
       144: 2022-10-19  1:12:59.9920000    2.3916  -2290113.2295      0.0000      0.0000      0.0000   
       145: 2022-10-19  1:13:29.9920000    2.3917  -2286354.8105      0.0000      0.0000      0.0000   
       146: 2022-10-19  1:13:59.9920000    2.3918  -2282595.1301      0.0000      0.0000      0.0000   
       147: 2022-10-19  1:14:29.9920000    2.3917  -2278829.5784      0.0000      0.0000      0.0000   
       148: 2022-10-19  1:14:59.9920000    2.3917  -2275062.6424      0.0000      0.0000      0.0000   
       149: 2022-10-19  1:15:29.9920000    2.3916  -2271302.1783      0.0000      0.0000      0.0000   
       150: 2022-10-19  1:15:59.9920000    2.3916  -2267537.2739      0.0000      0.0000      0.0000   
       151: 2022-10-19  1:16:29.9920000    2.3917  -2263769.3264      0.0000      0.0000      0.0000   
       152: 2022-10-19  1:16:59.9920000    2.3915  -2259991.4202      0.0000      0.0000      0.0000   
       153: 2022-10-19  1:17:29.9920000    2.3916  -2256214.5828      0.0000      0.0000      0.0000   
       154: 2022-10-19  1:17:59.9920000    2.3916  -2252437.4532      0.0000      0.0000      0.0000   
       155: 2022-10-19  1:18:29.9920000    2.3917  -2248659.7888      0.0000      0.0000      0.0000   
       156: 2022-10-19  1:18:59.9930000    2.3918  -2244881.9035      0.0000      0.0000      0.0000   
       157: 2022-10-19  1:19:29.9930000    2.3919  -2241099.5116      0.0000      0.0000      0.0000   
       158: 2022-10-19  1:19:59.9930000    2.3920  -2237309.8012      0.0000      0.0000      0.0000   
       159: 2022-10-19  1:20:29.9930000    2.3921  -2233518.1955      0.0000      0.0000      0.0000   
       160: 2022-10-19  1:20:59.9930000    2.3922  -2229718.6251      0.0000      0.0000      0.0000   
       161: 2022-10-19  1:21:29.9930000    2.3926  -2225912.8727      0.0000      0.0000      0.0000   
       162: 2022-10-19  1:21:59.9930000    2.3929  -2222102.7645      0.0000      0.0000      0.0000   
       163: 2022-10-19  1:22:29.9930000    2.3932  -2218288.3999      0.0000      0.0000      0.0000   
       164: 2022-10-19  1:22:59.9930000    2.3935  -2214472.3660      0.0000      0.0000      0.0000   
       165: 2022-10-19  1:23:29.9930000    2.3936  -2210660.7060      0.0000      0.0000      0.0000   
       166: 2022-10-19  1:23:59.9930000    2.3938  -2206844.5203      0.0000      0.0000      0.0000   
       167: 2022-10-19  1:24:29.9930000    2.3941  -2203025.6055      0.0000      0.0000      0.0000   
       168: 2022-10-19  1:24:59.9930000    2.3942  -2199197.5649      0.0000      0.0000      0.0000   
       169: 2022-10-19  1:25:29.9930000    2.3941  -2195370.0951      0.0000      0.0000      0.0000   
       170: 2022-10-19  1:25:59.9930000    2.3941  -2191548.3014      0.0000      0.0000      0.0000   
       171: 2022-10-19  1:26:29.9930000    2.3944  -2187716.1365      0.0000      0.0000      0.0000   
       172: 2022-10-19  1:26:59.9930000    2.3947  -2183879.8295      0.0000      0.0000      0.0000   
       173: 2022-10-19  1:27:29.9930000    2.3948  -2180045.7260      0.0000      0.0000      0.0000   
       174: 2022-10-19  1:27:59.9930000    2.3950  -2176207.3273      0.0000      0.0000      0.0000   
       175: 2022-10-19  1:28:29.9930000    2.3952  -2172366.8435      0.0000      0.0000      0.0000   
       176: 2022-10-19  1:28:59.9930000    2.3953  -2168517.5974      0.0000      0.0000      0.0000   
       177: 2022-10-19  1:29:29.9930000    2.3952  -2164665.6503      0.0000      0.0000      0.0000   
       178: 2022-10-19  1:29:59.9930000    2.3953  -2160809.9528      0.0000      0.0000      0.0000   
       179: 2022-10-19  1:30:29.9930000    2.3952  -2156952.3724      0.0000      0.0000      0.0000   
       180: 2022-10-19  1:30:59.9930000    2.3952  -2153092.1975      0.0000      0.0000      0.0000   
       181: 2022-10-19  1:31:29.9930000    2.3952  -2149229.6035      0.0000      0.0000      0.0000   
       182: 2022-10-19  1:31:59.9930000    2.3952  -2145366.2728      0.0000      0.0000      0.0000   
       183: 2022-10-19  1:32:29.9930000    2.3954  -2141500.9118      0.0000      0.0000      0.0000   
       184: 2022-10-19  1:32:59.9930000    2.3956  -2137633.5307      0.0000      0.0000      0.0000   
       185: 2022-10-19  1:33:29.9930000    2.3959  -2133755.3602      0.0000      0.0000      0.0000   
       186: 2022-10-19  1:33:59.9930000    2.3961  -2129877.5228      0.0000      0.0000      0.0000   
