     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
        37: 2022-10-21  0:19:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9152     5628262.5594     2830348.2175       0.05301220       0.01506213       0.01682480 
        38: 2022-10-21  0:19:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9251     5628262.5654     2830348.2250       0.05073174       0.01451614       0.01614772 
        39: 2022-10-21  0:20:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9343     5628262.5644     2830348.2272       0.04859480       0.01400453       0.01551240 
        40: 2022-10-21  0:20:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9395     5628262.5607     2830348.2261       0.04658960       0.01352436       0.01491536 
        41: 2022-10-21  0:21:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9514     5628262.5609     2830348.2285       0.04470558       0.01307300       0.01435351 
        42: 2022-10-21  0:21:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9589     5628262.5598     2830348.2295       0.04293324       0.01264811       0.01382406 
        43: 2022-10-21  0:22:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9538     5628262.5548     2830348.2243       0.04126402       0.01224758       0.01332449 
        44: 2022-10-21  0:22:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9530     5628262.5533     2830348.2232       0.03969018       0.01186951       0.01285256 
        45: 2022-10-21  0:23:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9662     5628262.5605     2830348.2286       0.03820470       0.01151219       0.01240622 
        46: 2022-10-21  0:23:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9780     5628262.5636     2830348.2354       0.03680120       0.01117407       0.01198361 
        47: 2022-10-21  0:24:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9899     5628262.5639     2830348.2383       0.03547389       0.01085376       0.01158307 
        48: 2022-10-21  0:24:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9928     5628262.5622     2830348.2391       0.03421748       0.01054997       0.01120305 
        49: 2022-10-21  0:25:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969181.0047     5628262.5604     2830348.2395       0.03302713       0.01026155       0.01084217 
        50: 2022-10-21  0:25:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9992     5628262.5568     2830348.2390       0.03189842       0.00998745       0.01049914 
        51: 2022-10-21  0:26:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969181.0058     5628262.5560     2830348.2407       0.03082728       0.00972670       0.01017280 
        52: 2022-10-21  0:26:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969181.0326     5628262.5536     2830348.2471       0.02980998       0.00947841       0.00986208 
        53: 2022-10-21  0:27:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969181.0374     5628262.5514     2830348.2471       0.02884309       0.00924177       0.00956599 
        54: 2022-10-21  0:27:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969181.0333     5628262.5486     2830348.2452       0.02792344       0.00901605       0.00928362 
        55: 2022-10-21  0:28:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969181.0384     5628262.5472     2830348.2479       0.02704811       0.00880055       0.00901413 
        56: 2022-10-21  0:28:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969181.0301     5628262.5452     2830348.2468       0.02621439       0.00859465       0.00875677 
        57: 2022-10-21  0:29:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969181.0255     5628262.5425     2830348.2448       0.02541979       0.00839777       0.00851080 
        58: 2022-10-21  0:29:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969181.0108     5628262.5433     2830348.2445       0.02466198       0.00820936       0.00827556 
