     epoch         Observation time         ZTD(m)    clk_G(m)    clk_C(m)    clk_R(m)    clk_E(m)
         0: 2022-10-21  0: 0:59.9920000    1.7139  -2293619.7434      0.0000      0.0000      0.0000   
         1: 2022-10-21  0: 1:29.9920000    0.4275  -2290083.4871      0.0000      0.0000      0.0000   
         2: 2022-10-21  0: 1:59.9920000    1.5638  -2286568.8380      0.0000      0.0000      0.0000   
         3: 2022-10-21  0: 2:29.9920000    1.7312  -2283048.4407      0.0000      0.0000      0.0000   
         4: 2022-10-21  0: 2:59.9920000    2.0388  -2279524.1109      0.0000      0.0000      0.0000   
         5: 2022-10-21  0: 3:29.9920000    2.1607  -2276004.7577      0.0000      0.0000      0.0000   
         6: 2022-10-21  0: 3:59.9920000    2.3407  -2272480.8217      0.0000      0.0000      0.0000   
         7: 2022-10-21  0: 4:29.9920000    2.3981  -2268955.2387      0.0000      0.0000      0.0000   
         8: 2022-10-21  0: 4:59.9920000    2.4437  -2265423.6485      0.0000      0.0000      0.0000   
         9: 2022-10-21  0: 5:29.9920000    2.4059  -2261896.9956      0.0000      0.0000      0.0000   
        10: 2022-10-21  0: 5:59.9920000    2.4020  -2258368.9302      0.0000      0.0000      0.0000   
        11: 2022-10-21  0: 6:29.9920000    2.4173  -2254849.9553      0.0000      0.0000      0.0000   
        12: 2022-10-21  0: 6:59.9920000    2.4136  -2251327.7356      0.0000      0.0000      0.0000   
        13: 2022-10-21  0: 7:29.9920000    2.4283  -2247798.6175      0.0000      0.0000      0.0000   
        14: 2022-10-21  0: 7:59.9930000    2.4428  -2244272.2900      0.0000      0.0000      0.0000   
        15: 2022-10-21  0: 8:29.9930000    2.4410  -2240755.4340      0.0000      0.0000      0.0000   
        16: 2022-10-21  0: 8:59.9930000    2.4389  -2237239.6382      0.0000      0.0000      0.0000   
        17: 2022-10-21  0: 9:29.9930000    2.4349  -2233725.7463      0.0000      0.0000      0.0000   
        18: 2022-10-21  0: 9:59.9930000    2.4311  -2230209.0501      0.0000      0.0000      0.0000   
        19: 2022-10-21  0:10:29.9930000    2.4305  -2226698.1894      0.0000      0.0000      0.0000   
        20: 2022-10-21  0:10:59.9930000    2.4260  -2223184.0668      0.0000      0.0000      0.0000   
        21: 2022-10-21  0:11:29.9930000    2.4288  -2219666.8351      0.0000      0.0000      0.0000   
        22: 2022-10-21  0:11:59.9930000    2.4325  -2216148.0081      0.0000      0.0000      0.0000   
        23: 2022-10-21  0:12:29.9930000    2.4330  -2212633.8071      0.0000      0.0000      0.0000   
        24: 2022-10-21  0:12:59.9930000    2.4324  -2209107.8986      0.0000      0.0000      0.0000   
        25: 2022-10-21  0:13:29.9930000    2.4301  -2205582.2678      0.0000      0.0000      0.0000   
        26: 2022-10-21  0:13:59.9930000    2.4202  -2202051.3905      0.0000      0.0000      0.0000   
        27: 2022-10-21  0:14:29.9930000    2.4178  -2198515.3723      0.0000      0.0000      0.0000   
        28: 2022-10-21  0:14:59.9930000    2.4167  -2194974.6079      0.0000      0.0000      0.0000   
        29: 2022-10-21  0:15:29.9930000    2.4170  -2191431.2593      0.0000      0.0000      0.0000   
        30: 2022-10-21  0:15:59.9930000    2.4207  -2187891.1727      0.0000      0.0000      0.0000   
        31: 2022-10-21  0:16:29.9930000    2.4186  -2184353.9261      0.0000      0.0000      0.0000   
        32: 2022-10-21  0:16:59.9930000    2.4162  -2180816.8240      0.0000      0.0000      0.0000   
        33: 2022-10-21  0:17:29.9930000    2.4145  -2177280.6823      0.0000      0.0000      0.0000   
        34: 2022-10-21  0:17:59.9930000    2.4137  -2173743.4129      0.0000      0.0000      0.0000   
        35: 2022-10-21  0:18:29.9930000    2.4127  -2170208.3866      0.0000      0.0000      0.0000   
        36: 2022-10-21  0:18:59.9930000    2.4132  -2166681.1187      0.0000      0.0000      0.0000   
        37: 2022-10-21  0:19:29.9930000    2.4133  -2163151.6099      0.0000      0.0000      0.0000   
        38: 2022-10-21  0:19:59.9930000    2.4119  -2159621.7825      0.0000      0.0000      0.0000   
        39: 2022-10-21  0:20:29.9930000    2.4117  -2156096.4537      0.0000      0.0000      0.0000   
        40: 2022-10-21  0:20:59.9930000    2.4112  -2152568.8499      0.0000      0.0000      0.0000   
        41: 2022-10-21  0:21:29.9930000    2.4100  -2149054.5495      0.0000      0.0000      0.0000   
        42: 2022-10-21  0:21:59.9930000    2.4090  -2145542.8587      0.0000      0.0000      0.0000   
        43: 2022-10-21  0:22:29.9930000    2.4109  -2142030.0036      0.0000      0.0000      0.0000   
        44: 2022-10-21  0:22:59.9930000    2.4124  -2138519.4299      0.0000      0.0000      0.0000   
        45: 2022-10-21  0:23:29.9930000    2.4118  -2135009.3560      0.0000      0.0000      0.0000   
        46: 2022-10-21  0:23:59.9930000    2.4110  -2131494.1591      0.0000      0.0000      0.0000   
        47: 2022-10-21  0:24:29.9930000    2.4109  -2127983.0529      0.0000      0.0000      0.0000   
        48: 2022-10-21  0:24:59.9930000    2.4108  -2124474.0005      0.0000      0.0000      0.0000   
        49: 2022-10-21  0:25:29.9930000    2.4105  -2120963.1668      0.0000      0.0000      0.0000   
        50: 2022-10-21  0:25:59.9930000    2.4103  -2117454.8205      0.0000      0.0000      0.0000   
        51: 2022-10-21  0:26:29.9930000    2.4093  -2113949.1633      0.0000      0.0000      0.0000   
        52: 2022-10-21  0:26:59.9930000    2.4075  -2110444.2166      0.0000      0.0000      0.0000   
        53: 2022-10-21  0:27:29.9930000    2.4074  -2106933.9936      0.0000      0.0000      0.0000   
        54: 2022-10-21  0:27:59.9930000    2.4081  -2103429.6302      0.0000      0.0000      0.0000   
        55: 2022-10-21  0:28:29.9930000    2.4071  -2099932.4959      0.0000      0.0000      0.0000   
        56: 2022-10-21  0:28:59.9930000    2.4078  -2096435.9597      0.0000      0.0000      0.0000   
        57: 2022-10-21  0:29:29.9930000    2.4081  -2092941.4308      0.0000      0.0000      0.0000   
        58: 2022-10-21  0:29:59.9930000    2.4085  -2089440.1938      0.0000      0.0000      0.0000   
        59: 2022-10-21  0:30:29.9930000    2.4090  -2085941.6180      0.0000      0.0000      0.0000   
        60: 2022-10-21  0:30:59.9930000    2.4089  -2082438.5201      0.0000      0.0000      0.0000   
        61: 2022-10-21  0:31:29.9930000    2.4089  -2078924.1135      0.0000      0.0000      0.0000   
        62: 2022-10-21  0:31:59.9930000    2.4092  -2075415.0155      0.0000      0.0000      0.0000   
        63: 2022-10-21  0:32:29.9930000    2.4095  -2071909.6113      0.0000      0.0000      0.0000   
        64: 2022-10-21  0:32:59.9930000    2.4101  -2068411.2200      0.0000      0.0000      0.0000   
        65: 2022-10-21  0:33:29.9930000    2.4100  -2064915.2596      0.0000      0.0000      0.0000   
        66: 2022-10-21  0:33:59.9930000    2.4099  -2061412.9599      0.0000      0.0000      0.0000   
        67: 2022-10-21  0:34:29.9930000    2.4102  -2057903.0033      0.0000      0.0000      0.0000   
        68: 2022-10-21  0:34:59.9930000    2.4102  -2054389.1792      0.0000      0.0000      0.0000   
        69: 2022-10-21  0:35:29.9930000    2.4111  -2050871.5134      0.0000      0.0000      0.0000   
        70: 2022-10-21  0:35:59.9930000    2.4112  -2047350.6989      0.0000      0.0000      0.0000   
        71: 2022-10-21  0:36:29.9930000    2.4117  -2043829.1445      0.0000      0.0000      0.0000   
        72: 2022-10-21  0:36:59.9930000    2.4121  -2040308.0631      0.0000      0.0000      0.0000   
        73: 2022-10-21  0:37:29.9930000    2.4123  -2036786.9619      0.0000      0.0000      0.0000   
        74: 2022-10-21  0:37:59.9930000    2.4125  -2033266.5780      0.0000      0.0000      0.0000   
        75: 2022-10-21  0:38:29.9930000    2.4129  -2029750.4248      0.0000      0.0000      0.0000   
        76: 2022-10-21  0:38:59.9930000    2.4139  -2026236.3170      0.0000      0.0000      0.0000   
        77: 2022-10-21  0:39:29.9930000    2.4145  -2022723.2992      0.0000      0.0000      0.0000   
        78: 2022-10-21  0:39:59.9930000    2.4149  -2019207.1056      0.0000      0.0000      0.0000   
        79: 2022-10-21  0:40:29.9930000    2.4152  -2015689.3590      0.0000      0.0000      0.0000   
        80: 2022-10-21  0:40:59.9930000    2.4150  -2012164.0915      0.0000      0.0000      0.0000   
        81: 2022-10-21  0:41:29.9930000    2.4152  -2008634.5774      0.0000      0.0000      0.0000   
        82: 2022-10-21  0:41:59.9930000    2.4154  -2005113.7720      0.0000      0.0000      0.0000   
        83: 2022-10-21  0:42:29.9930000    2.4160  -2001594.8461      0.0000      0.0000      0.0000   
        84: 2022-10-21  0:42:59.9930000    2.4163  -1998064.9525      0.0000      0.0000      0.0000   
        85: 2022-10-21  0:43:29.9930000    2.4164  -1994535.0763      0.0000      0.0000      0.0000   
        86: 2022-10-21  0:43:59.9930000    2.4159  -1990998.7748      0.0000      0.0000      0.0000   
        87: 2022-10-21  0:44:29.9930000    2.4156  -1987469.9958      0.0000      0.0000      0.0000   
        88: 2022-10-21  0:44:59.9930000    2.4157  -1983941.8025      0.0000      0.0000      0.0000   
        89: 2022-10-21  0:45:29.9930000    2.4155  -1980414.2024      0.0000      0.0000      0.0000   
