     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
         0: 2022-10-20  0: 1: 0.0120000              6      969180.4620     5628261.7233     2830348.0572      969181.4510     5628277.3274     2830354.8434       7.51189476      22.57623266       9.46830656 
         1: 2022-10-20  0: 1:30.0120000              7      969180.4620     5628261.7233     2830348.0572      969174.2949     5628264.0354     2830345.0049       2.92905156       2.20601352       1.77156112 
         2: 2022-10-20  0: 2: 0.0120000              7      969180.4620     5628261.7233     2830348.0572      969173.9705     5628263.0591     2830345.4391       2.11338042       1.11584275       1.03424216 
         3: 2022-10-20  0: 2:30.0120000              7      969180.4620     5628261.7233     2830348.0572      969174.4104     5628262.6050     2830346.0145       1.59113405       0.72029469       0.71920200 
         4: 2022-10-20  0: 3: 0.0120000              7      969180.4620     5628261.7233     2830348.0572      969175.2068     5628262.5592     2830346.2312       1.23990880       0.51803967       0.53979313 
         5: 2022-10-20  0: 3:30.0120000              7      969180.4620     5628261.7233     2830348.0572      969175.9350     5628262.5711     2830346.5496       0.99432446       0.39633040       0.42405176 
         6: 2022-10-20  0: 4: 0.0120000              7      969180.4620     5628261.7233     2830348.0572      969176.1471     5628262.3038     2830346.5388       0.81639969       0.31578834       0.34385128 
         7: 2022-10-20  0: 4:30.0120000              7      969180.4620     5628261.7233     2830348.0572      969176.3348     5628262.1767     2830346.5563       0.68341035       0.25903102       0.28550597 
         8: 2022-10-20  0: 5: 0.0120000              7      969180.4620     5628261.7233     2830348.0572      969177.4617     5628262.1821     2830346.8301       0.58131003       0.21718989       0.24149132 
         9: 2022-10-20  0: 5:30.0120000              7      969180.4620     5628261.7233     2830348.0572      969177.9960     5628262.2131     2830347.0044       0.50111438       0.18527517       0.20733104 
        10: 2022-10-20  0: 6: 0.0120000              7      969180.4620     5628261.7233     2830348.0572      969178.5479     5628262.2427     2830347.1393       0.43688568       0.16027098       0.18020374 
        11: 2022-10-20  0: 6:30.0120000              7      969180.4620     5628261.7233     2830348.0572      969178.8088     5628262.2942     2830347.2833       0.38457899       0.14025202       0.15824879 
        12: 2022-10-20  0: 7: 0.0120000              7      969180.4620     5628261.7233     2830348.0572      969178.8189     5628262.2886     2830347.3563       0.34136287       0.12393467       0.14019353 
        13: 2022-10-20  0: 7:30.0120000              7      969180.4620     5628261.7233     2830348.0572      969179.4100     5628262.3015     2830347.5334       0.30520708       0.11043259       0.12514121 
        14: 2022-10-20  0: 8: 0.0120000              7      969180.4620     5628261.7233     2830348.0572      969179.5064     5628262.2568     2830347.5307       0.27462429       0.09911540       0.11244350 
        15: 2022-10-20  0: 8:30.0120000              7      969180.4620     5628261.7233     2830348.0572      969179.6289     5628262.1820     2830347.4784       0.24850414       0.08952358       0.10162134 
        16: 2022-10-20  0: 9: 0.0120000              7      969180.4620     5628261.7233     2830348.0572      969179.7194     5628262.1614     2830347.4965       0.22600334       0.08131487       0.09231391 
        17: 2022-10-20  0: 9:30.0120000              7      969180.4620     5628261.7233     2830348.0572      969179.9169     5628262.2101     2830347.5842       0.20647163       0.07422960       0.08424484 
        18: 2022-10-20  0:10: 0.0120000              7      969180.4620     5628261.7233     2830348.0572      969180.1230     5628262.3176     2830347.7026       0.18940062       0.06806752       0.07719922 
        19: 2022-10-20  0:10:30.0120000              7      969180.4620     5628261.7233     2830348.0572      969180.1068     5628262.3285     2830347.7344       0.17438790       0.06267193       0.07100771 
        20: 2022-10-20  0:11: 0.0120000              8      969180.4620     5628261.7233     2830348.0572      969180.0593     5628262.3841     2830347.7705       0.16110682       0.05791818       0.06553398 
        21: 2022-10-20  0:11:30.0120000              8      969180.4620     5628261.7233     2830348.0572      969180.0230     5628262.4012     2830347.7854       0.14927024       0.05364320       0.06060942 
